味わう,あじわう,"to taste,to savor,to relish"
出入り,でいり,"in and out,coming and going,free association,income and expenditure,debits and credit"
経つ,たつ,"to pass,to lapse"
池,いけ,pond
煮える,にえる,"to boil,to cook,to be cooked"
銀行,ぎんこう,Bank
箱,はこ,box
姓,せい,"surname,family name"
記者,きしゃ,reporter
待ち合わせる,まちあわせる,"to rendezvous,to meet at a prearranged place and time"
構う,かまう,"to mind,to care about,to be concerned about"
食事,しょくじ,meal
飛ばす,とばす,"to skip over,to omit"
二日,ふつか,"two days, second day of the month"
連想,れんそう,"association (of ideas),suggestion"
扇風機,せんぷうき,electric fan
優れる,すぐれる,"to surpass,to outstrip,to excel"
留学生,りゅうがくせい,overseas student
致す,いたす,(humble) to do
延長,えんちょう,"extension,elongation,prolongation,lengthening"
身長,しんちょう,"height (of body),stature"
笑う,わらう,"to laugh,to smile"
迷信,めいしん,superstition
締め切る,しめきる,to shut up
学期,がっき,term (school)
湿る,しめる,"to be wet,to become wet,to be damp"
損得,そんとく,"loss and gain,advantage and disadvantage"
割れる,われる,to break
攻撃,こうげき,"attack,strike,offensive,criticism,censure"
南米,なんべい,South America
広さ,ひろさ,extent
販売,はんばい,"sale,selling,marketing"
略す,りゃくす,to abbreviate
絵画,かいが,picture
写生,しゃせい,"sketching,drawing from nature"
動く,うごく,to move
出来上がり,できあがり,"be finished,ready,made for,cut out"
生き物,いきもの,"living thing,animal"
血液,けつえき,blood
図書館,としょかん,library
辺り,あたり,"vicinity,nearby"
押し入れ,おしいれ,closet
成人,せいじん,adult
人通り,ひとどおり,pedestrian traffic
抜く,ぬく,"to extract,to omit,to surpass,to draw out,to unplug"
我慢,がまん,"patience,endurance,perseverance"
子供,こども,Child
至る,いたる,"to come,to arrive"
商人,しょうにん,"trader,shopkeeper,merchant"
片付く,かたづく,"to put in order,to dispose of,to solve"
変,へん,strange
通う,かよう,to commute
盆地,ぼんち,basin (e.g. between mountains)
哲学,てつがく,philosophy
通学,つうがく,commuting to school
定規,じょうぎ,(measuring) ruler
休暇,きゅうか,"holiday,day off,furlough"
取り上げる,とりあげる,"to take up,to pick up,to disqualify,to confiscate,to deprive"
木,き,"tree, wood"
実行,じっこう,"practice,performance,execution (e.g. program),realization"
向かい,むかい,"facing,opposite,across the street,other side"
合同,ごうどう,"combination,incorporation,union,amalgamation"
思わず,おもわず,"unintentional,spontaneous"
幕,まく,"curtain,bunting,act (in play)"
肩,かた,shoulder
儀式,ぎしき,"ceremony,rite,ritual,service"
勘,かん,"perception,intuition,the sixth sense"
三日,みっか,"three days, third day of the month"
貸家,かしや,house for rent
広々,ひろびろ,"extensive,spacious"
軒,けん,eaves
孝行,こうこう,filial piety
練習,れんしゅうする,to practice
必死,ひっし,"inevitable death,desperation,frantic,inevitable result"
両替,りょうがえ,"change,money exchange"
平仮名,ひらがな,"hiragana,47 syllables,the cursive syllabary"
相当,そうとう,"suitable,fair,tolerable,proper"
低下,ていか,"fall,decline,lowering,deterioration"
引っ繰り返る,ひっくりかえる,"to be overturned,to be upset,to topple over,to be reversed"
目標,もくひょう,"mark,objective,target"
調子,ちょうし,"tune,tone,key"
録音,ろくおん,(audio) recording
実現,じつげん,"implementation,materialization,realization"
危ない,あぶない,dangerous
失敗,しっぱい,"failure,mistake"
通信,つうしん,"correspondence,communication,news,signal"
生,なま,"(1) draft (beer),(2) raw,unprocessed"
怖い,こわい,frightening
御覧,ごらん,"(hon) look,inspection,try"
営業,えいぎょう,"business,trade,management"
膨らます,ふくらます,"to swell,to expand,to inflate,to bulge"
外れる,はずれる,"to be disconnected,to get out of place,to be off,to be out (e.g. of gear)"
支払,しはらい,payment
演技,えんぎ,"acting,performance"
妨げる,さまたげる,"to disturb,to prevent"
都会,とかい,city
直に,じかに,"immediately,readily,directly"
撫でる,なでる,"to brush gently,to stroke"
章,しょう,"(1) chapter,section,(2) medal"
小屋,こや,"hut,cabin,shed,(animal) pen"
五日,いつか,"five days, fifth day"
裁縫,さいほう,sewing
引き止める,ひきとめる,"to detain,to check,to restrain"
出迎える,でむかえる,"to meet,to greet"
損害,そんがい,"damage,injury,loss"
一段と,いちだんと,"greater,more,further,still more"
嘘,うそ,"lie,falsehood,incorrect fact,inappropriate"
湿気,しっき,"moisture,humidity,dampness"
果実,かじつ,"fruit,nut,berry."
塊,かたまり,"lump,mass,clod,cluster"
提案,ていあん,"proposal,proposition,suggestion"
長い,ながい,long
噴水,ふんすい,water fountain
万一,まんいち,"by some chance,by some possibility,if by any chance,10E4:1 odds"
組む,くむ,to put together
意味,いみ,meaning
透明,とうめい,"transparency,cleanness"
御馳走,ごちそう,"feast,treating (someone)"
出る,でる,"to appear,to leave"
詰まる,つまる,"to be blocked,to be packed"
隅,すみ,"corner,nook"
進学,しんがく,going on to university
素晴らしい,すばらしい,"wonderful,splendid,magnificent"
未だ,まだ,"yet,still,more,besides"
呼び出す,よびだす,"to summon,to call (e.g. phone)"
更ける,ふける,"to get late,to advance,to wear on"
でも,でも,"but,however"
出勤,しゅっきん,"going to work,at work"
赤,あか,red
外部,がいぶ,"the outside,external"
書留,かきとめ,"writing down,putting on record,recording,making a note of,registration (of mail)"
﻿会う,あう,to meet
感激,かんげき,"deep emotion,impression,inspiration"
予算,よさん,"estimate,budget"
換える,かえる,"to exchange,to interchange,to substitute,to replace"
大気,たいき,atmosphere
乱暴,らんぼう,"rude,violent,rough,lawless,unreasonable,reckless"
味方,みかた,"friend,ally,supporter"
高速,こうそく,"high speed,high gear"
栓,せん,"stopper,cork,stopcock"
財産,ざいさん,"property,fortune,assets"
絵の具,えのぐ,"colors,paints"
換気,かんき,ventilation
合格,ごうかく,"success,passing (e.g. exam),eligibility"
戦い,たたかい,"battle,fight,struggle,conflict"
温い,ぬるい,luke warm
祭る,まつる,"to deify,to enshrine"
考慮,こうりょ,"consideration,taking into account"
被害,ひがい,damage
標本,ひょうほん,"example,specimen"
井戸,いど,water well
青い,あおい,blue
細かい,こまかい,"small, fine"
夕立,ゆうだち,(sudden) evening shower (rain)
二つ,ふたつ,two
寄る,よる,to visit
飛ぶ,とぶ,"to fly,to hop"
滅多に,めったに,"rarely (with neg. verb),seldom"
破る,やぶる,"to tear,to violate,to defeat,to smash,to destroy"
比較的,ひかくてき,"comparatively,relatively"
小便,しょうべん,"(col) urine,piss"
初級,しょきゅう,elementary level
外出,がいしゅつ,"outing,going out"
感じ,かんじ,"feeling,sense,impression"
水滴,すいてき,drop of water
名所,めいしょ,famous place
蓋,ふた,"cover,lid,cap"
遊園地,ゆうえんち,amusement park
狡い,ずるい,"sly,cunning"
お父さん,おとうさん,(honorable) father
角度,かくど,angle
文化,ぶんか,culture
端,はし,"end (e.g. of street),edge,tip,margin,point"
恨む,うらむ,"to curse,to feel bitter"
適度,てきど,moderate
生き生き,いきいき,"vividly,lively"
浮く,うく,"to float,to become merry,to become loose"
釣る,つる,to fish
故障,こしょう・する,to break-down
食糧,しょくりょう,"provisions,rations"
遂に,ついに,"finally,at last"
作者,さくしゃ,"author,authoress"
外す,はずす,"to unfasten,to remove"
先々月,せんせんげつ,month before last
空想,くうそう,"daydream,fantasy,fancy,vision"
本部,ほんぶ,headquarters
監督,かんとく,"supervision,control,superintendence"
再三,さいさん,"again and again,repeatedly"
明ける,あける,"to dawn,to become daylight"
誤り,あやまり,error
決まり,きまり,"settlement,conclusion,regulation,rule"
位,くらい,"grade,rank,about"
停留所,ていりゅうじょ,bus or tram stop
画家,がか,"painter,artist"
心理,しんり,mentality
煙突,えんとつ,chimney
毛糸,けいと,knitting wool
徹底,てってい,"thoroughness,completeness"
痩せる,やせる,to become thin
遅れる,おくれる,to be late
蓄える,たくわえる,"to store,to lay in stock"
骨,ほね,bone
記事,きじ,"article,news story,report,account"
実際,じっさい,"practical,actual condition,status quo"
叔父さん,おじさん,"middle-aged gentleman,uncle"
合理,ごうり,rational
備える,そなえる,"to furnish,to provide for,to equip,to install"
無駄,むだ,"futility,uselessness"
見慣れる,みなれる,"to become used to seeing,to be familiar with"
咳,せき,cough
弾く,ひく,"to play an instrument with strings, including piano"
乗る,のる,"to get on,to ride"
見る,みる,"to see,to watch"
整備,せいび,"adjustment,completion,consolidation"
靴下,くつした,Socks
塵紙,ちりがみ,"tissue paper,toilet paper"
伝える,つたえる,to report
現象,げんしょう,phenomenon
無,ぶ,"nothing,naught,nil,zero"
守る,まもる,"to protect,to obey,to guard,to abide (by the rules)"
職業,しょくぎょう,"occupation,business"
霜,しも,frost
睨む,にらむ,"to glare at,to scowl at,to keep an eye on"
似る,にる,to be similar
王様,おうさま,king
固い,かたい,"stubborn,firm (not viscous or easily moved)"
優しい,やさしい,kind
人文科学,じんぶんかがく,"social sciences,humanities"
並行,へいこう,"(going) side by side,concurrent,abreast,at the same time"
要求,ようきゅう,"request,demand,requisition"
御,お,honourable
商売,しょうばい,"trade,business,commerce,transaction,occupation"
容積,ようせき,"capacity,volume"
発電,はつでん,generation (e.g. power)
個体,こたい,an individual
尤も,もっとも,"quite right,plausible,natural,but then,although"
奥さん,おくさん,(honorable) wife
星,ほし,star
大,だい,big; large; great
秒,びょう,second (60th min)
餅,もち,sticky rice cake
炊事,すいじ,"cooking,culinary arts"
替える,かえる,"to exchange,to interchange,to substitute,to replace"
加速度,かそくど,acceleration
共通,きょうつう,"commonness,community"
家族,かぞく,Family
教室,きょうしつ,Classroom
園芸,えんげい,"horticulture,gardening"
縫う,ぬう,to sew
欲張り,よくばり,"avarice,covetousness,greed"
見舞う,みまう,"to ask after (health),to visit"
点,てん,"point,dot"
後,あと,afterwards
灯油,とうゆ,"lamp oil,kerosene"
血,ち,blood
薬指,くすりゆび,ring finger
掃く,はく,"to sweep,to brush,to gather up"
別れる,わかれる,to separate
四,し / よん,Four
深まる,ふかまる,"to deepen,to heighten,to intensify"
性能,せいのう,"ability,efficiency"
土,つち,"earth,soil"
最近,さいきん,"latest,nowadays"
方々,かたがた,"persons,this and that,here and there,everywhere"
掛ける,かける,to hang something
吊る,つる,to hang
欠点,けってん,"faults,defect,weakness"
火山,かざん,volcano
空中,くうちゅう,"sky,air"
通貨,つうか,currency
手袋,てぶくろ,glove
賢い,かしこい,"wise,clever,smart"
設備,せつび,"equipment,device,facilities,installation"
両側,りょうがわ,both sides
信ずる,しんずる,"to believe,to believe in,to place trust in"
実例,じつれい,"example,illustration"
許す,ゆるす,"to permit,to allow,to approve"
商業,しょうぎょう,"commerce,trade,business"
静か,しずか,Quiet
者,もの,person
武士,ぶし,"warrior,samurai"
離婚,りこん,divorce
自然科学,しぜんかがく,natural science
発つ,たつ,"to depart (on a plane, train, etc.)"
懐かしい,なつかしい,"dear,desired,missed"
色,いろ,colour
駐車場,ちゅうしゃじょう,parking lot
一日,いちにち,first of the month
今晩,こんばん,this evening
加える,くわえる,"to append,to sum up,to add (up)"
降りる,おりる,"to get off, to descend"
今日,きょう,Today
意地悪,いじわる,"malicious,ill-tempered,unkind"
相手,あいて,"companion,partner,company"
眼鏡,めがね,glasses
態度,たいど,"attitude,manner"
救う,すくう,"to rescue from,to help out of"
感情,かんじょう,"emotion(s),feeling(s),sentiment"
役,やく,"use,service,role,position"
酒場,さかば,"bar,bar-room"
吹雪,ふぶき,snow storm
下水,げすい,"drainage,sewage,ditch,gutter,sewerage"
頭痛,ずつう,headache
生産,せいさん・する,to produce
働き,はたらき,"work,labor"
牧場,ぼくじょう,"(1) farm (livestock),(2) pasture land,meadow,grazing land"
予備,よび,"preparation,preliminaries,reserve,spare"
熱心,ねっしん,"zeal,enthusiasm"
定期,ていき,fixed term
考える,かんがえる,to consider
助教授,じょきょうじゅ,assistant professor
学,がく,"learning,scholarship,erudition,knowledge"
締める,しめる,to tie
共に,ともに,"sharing with,participate in"
僅か,わずか,"only,merely,a little,small quantity"
持つ,もつ,to hold
不潔,ふけつ,"unclean,dirty,filthy,impure"
停電,ていでん,failure of electricity
装置,そうち,"equipment,installation,apparatus"
夜,よ,"evening,night"
少々,しょうしょう,"just a minute,small quantity"
途端,とたん,"just (now, at the moment, etc.)"
払い込む,はらいこむ,"to deposit,to pay in"
泥,どろ,mud
中途,ちゅうと,"in the middle,half-way"
本,ほん,book
灰色,はいいろ,"grey,gray,ashen"
半ば,なかば,"middle,half,semi,halfway,partly"
精神,せいしん,"mind,soul,heart,spirit,intention"
右,みぎ,right side
敷く,しく,"to spread out,to lay out"
時刻,じこく,"instant,time,moment"
七,しち / なな,Seven
献立,こんだて,"menu,program,schedule"
不,ふ,"un,non,negative prefix"
刷る,する,to print
魚,さかな,Fish
朝,あさ,morning
兄,あに,(humble) older brother
差,さ,"difference,variation"
適切,てきせつ,"pertinent,appropriate,adequate,relevance"
話中,はなしちゅう,"while talking,the line is busy"
閉まる,しまる,"to close, to be closed"
未来,みらい,"future (life, tense)"
不幸,ふこう,"unhappiness,sorrow,misfortune,disaster,accident,death"
遠慮,えんりょ・する,"to be reserved, to be restrained"
枝,えだ,"branch, twig"
歌,うた,song
傾らか,なだらか,gently sloping; gentle; easy; smooth
金,きん,"(1) gold,(2) gold general (shogi) (abbr)"
飛び込む,とびこむ,"to jump in,to leap in,to plunge into,to dive"
投票,とうひょう,"voting,poll"
金曜,きんよう,(abbr) Friday
単位,たんい,"unit,denomination,credit (in school)"
水蒸気,すいじょうき,"water vapour,steam"
町,まち,"town,city"
雰囲気,ふんいき,"atmosphere (e.g. musical),mood,ambience"
箸,はし,chopsticks
生る,なる,to bear fruit
占める,しめる,"(1) to comprise,to account for,to make up (of),(2) to hold,to occupy"
撃つ,うつ,"to attack,to defeat,to destroy"
的確,てきかく,"precise,accurate"
下り,くだり,down-train (going away from Tokyo)
応ずる,おうずる,"to answer,to respond,to meet,to satisfy,to accept"
和服,わふく,Japanese clothes
お茶,おちゃ,green tea
夜明け,よあけ,"dawn,daybreak"
引算,ひきざん,subtraction
挿す,さす,"to insert,to put in,to graft,to wear in belt"
数学,すうがく,"mathematics,arithmetic"
居る,いる,"to be, to have (used for people and animals)"
言い付ける,いいつける,"to tell,to tell on (someone),to order"
会議,かいぎ,meeting
飾る,かざる,to decorate
消える,きえる,to disappear
接する,せっする,"to come in contact with,to connect,to attend,to receive"
家庭,かてい,Household
すると,すると,"thereupon,hereupon"
名前,なまえ,name
重役,じゅうやく,"director,high executive"
驚かす,おどろかす,"to surprise,to frighten,to create a stir"
退院,たいいん,leaving hospital
大通り,おおどおり,main street
承認,しょうにん,"recognition,acknowledgement,approval,consent,agreement"
複数,ふくすう,"plural,multiple"
教わる,おそわる,to be taught
父親,ちちおや,father
灰,はい,ash
お姉さん,おねえさん,(honorable) older sister
尊重,そんちょう,"respect,esteem,regard"
直す,なおす,"to fix,to repair"
火口,かこう,"a burner,origin of a fire"
緑,みどり,green
髭,ひげ,"moustache,beard,whiskers"
女の子,おんなのこ,Girl
割算,わりざん,division (math)
回復,かいふく,"recovery (from illness),improvement,rehabilitation,restoration"
立派,りっぱ,"splendid,fine,handsome,elegant,imposing,prominent,legal,legitimate"
別,べつ,different
上旬,じょうじゅん,first 10 days of month
嫌い,きらい,Hate
森,もり,forest
柄,え,"handle,grip"
世の中,よのなか,"society,the world,the times"
大工,だいく,carpenter
並べる,ならべる,"to line up,to set up"
終える,おえる,to finish
頂く,いただく,"to receive,to take food or drink (hum)"
女の人,おんなのひと,woman
大抵,たいてい,"usually,generally"
円,えん,"circle,money"
蹴る,ける,to kick
項目,こうもく,item
大切,たいせつ,important
余所,よそ,"another place,somewhere else,strange parts"
袖,そで,sleeve
理由,りゆう,reason
何,なん,what
辺,へん,area
走る,はしる,to run
面倒,めんどう,"trouble,difficulty,care,attention"
法律,ほうりつ,law
動詞,どうし,verb
事,こと,"thing,matter,fact,circumstances"
遅刻,ちこく,"lateness,late coming"
馴れる,なれる,"to become domesticated,to become tame"
相談,そうだん,"consultation,discussion"
連合,れんごう,"union,alliance"
乾燥,かんそう,"dry,arid,insipid,dehydrated"
構造,こうぞう,"structure,construction"
売れる,うれる,to be sold
創作,そうさく,"production,literary creation,work"
思いっ切り,おもいっきり,with all one's strength; with all one's heart; to the utmost​
深刻,しんこく,serious
台所,だいどころ,kitchen
苦痛,くつう,"pain,agony"
作物,さくもつ,"produce (e.g. agricultural),crops"
腹,はら,"abdomen,belly,stomach"
課長,かちょう,section manager
親友,しんゆう,"close friend,buddy"
思い出す,おもいだす,to remember
運転,うんてん・する,to drive
犯罪,はんざい,crime
敬う,うやまう,"to show respect,to honour"
昨,さく,"last (year),yesterday"
消す,けす,"to erase, to turn off power"
散る,ちる,"to fall,to scatter (e.g. blossoms)"
鏡,かがみ,mirror
隣,となり,next door to
図鑑,ずかん,picture book
物価,ぶっか,"prices of commodities,prices (in general)"
住民,じゅうみん,"citizens,inhabitants,residents,population"
交番,こうばん,police box
付合う,つきあう,"to associate with,to keep company with,to get on with"
組織,そしき,"(1) organization,(2) structure,construction,(3) tissue,(4) system"
生け花,いけばな,(1) flower arrangement
谷,たに,valley
同格,どうかく,"the same rank,equality,apposition"
真っ黒,まっくろ,pitch black
弟,おとうと,younger brother
確率,かくりつ,probability
今に,いまに,"before long,even now"
海,うみ,sea
団地,だんち,multi-unit apartments
脱ぐ,ぬぐ,to take off clothes
長方形,ちょうほうけい,"rectangle,oblong"
曇,くもり,"cloudiness,cloudy weather,shadow"
頂上,ちょうじょう,"top,summit,peak"
雨,あめ,rain
気配,けはい,"indication,market trend,worry"
能力,のうりょく,"ability,faculty"
夕べ,ゆうべ,evening
気,き,"spirit,mood"
詫びる,わびる,to apologize
眠る,ねむる,to sleep
記入,きにゅう,"entry,filling in of forms"
対照,たいしょう,"contrast,antithesis,comparison"
載る,のる,"to appear (in print),to be recorded"
体系,たいけい,"system,organization"
障子,しょうじ,paper sliding door
とり肉,とりにく,chicken meat
性別,せいべつ,"distinction by sex,sex,gender"
食堂,しょくどう,dining hall
諺,ことわざ,"proverb,maxim"
可,か,passable
車掌,しゃしょう,(train) conductor
高級,こうきゅう,"high class,high grade"
別荘,べっそう,"holiday house,villa"
街,まち,"(1) town,(2) street,road"
乗り換える,のりかえる,to change between buses or trains
平均,へいきん,"equilibrium,balance,average,mean"
斬る,きる,"(v5r) to behead,to murder"
回す,まわす,"to turn,to revolve"
真っ白,まっしろ,pure white
問い合わせ,といあわせ,"enquiry,ENQ"
講堂,こうどう,auditorium
反映,はんえい,"reflection,influence"
語学,ごがく,language study
欄,らん,column of text (e.g. as in a newspaper)
育つ,そだつ,"to raise (child),to be brought up,to grow (up)"
推定,すいてい,"presumption,assumption,estimation"
役者,やくしゃ,"actor,actress"
鉄橋,てっきょう,"railway bridge,iron bridge"
行動,こうどう,"action,conduct,behaviour,mobilization"
御辞儀,おじぎ,bow
家主,やぬし,landlord
知能,ちのう,"intelligence,brains"
九つ,ここのつ,Nine
削除,さくじょ,"elimination,cancellation,deletion,erasure"
小さな,ちいさな,little
可決,かけつ,"approval,adoption (e.g. motion, bill),passage"
楽,らく,"comfort,ease"
前,まえ,before
言葉,ことば,"word, language"
改善,かいぜん,"betterment,improvement"
宿泊,しゅくはく,lodging
小さい,ちいさい,little
役所,やくしょ,"government office,public office"
弱点,じゃくてん,"weak point,weakness"
何とか,なんとか,"somehow,anyhow,one way or another"
掲示,けいじ,"notice,bulletin"
出来事,できごと,"incident,affair,happening,event"
増す,ます,"to increase,to grow"
成功,せいこう,"success,hit"
屑,くず,"waste,scrap"
不自由,ふじゆう,"discomfort,disability,inconvenience,destitution"
犯人,はんにん,"offender,criminal"
水産,すいさん,"marine products,fisheries"
気持ち,きもち,"feeling,mood"
文脈,ぶんみゃく,context
地下鉄,ちかてつ,underground train
熟語,じゅくご,"idiom,idiomatic phrase,kanji compound"
国語,こくご,national language
機嫌,きげん,"humour,temper,mood"
天候,てんこう,weather
隠れる,かくれる,"to hide,to be hidden,to conceal oneself,to disappear"
場所,ばしょ,location
近い,ちかい,near
山,やま,mountain
横切る,よこぎる,"to cross (e.g. arms),to traverse"
手段,しゅだん,"means,way,measure"
湾,わん,"bay,gulf,inlet"
売り場,うりば,place where things are sold
嫌,いや,unpleasant
握る,にぎる,"to grasp,to seize,to mould sushi"
協力,きょうりょく,"cooperation,collaboration"
近所,きんじょ,neighbourhood
交ぜる,まぜる,"to be mixed,to be blended with"
積む,つむ,"to pile up,to stack"
正午,しょうご,"noon,mid-day"
掃除,そうじする,"to clean, to sweep"
脂,あぶら,"fat,tallow,lard"
段階,だんかい,"gradation,grade,stage"
履く,はく,"to wear,to put on (lower body)"
神経,しんけい,"nerve,sensitivity"
大使館,たいしかん,embassy
昨日,きのう,Yesterday
名刺,めいし,business card
買う,かう,to buy
体制,たいせい,"order,system,structure,set-up,organization"
正門,せいもん,"main gate,main entrance"
広げる,ひろげる,"to spread,to extend,to expand,to enlarge"
入学,にゅうがく,"entry to school or university,matriculation"
二人,ふたり,two people
囁く,ささやく,"to whisper,to murmur"
始めに,はじめに,"to begin with,first of all"
価値,かち,"value,worth,merit"
冷凍,れいとう,"freezing,cold storage,refrigeration"
差す,さす,"to stretch out hands, to raise an umbrella"
集金,しゅうきん,money collection
地点,ちてん,"site,point on a map"
修正,しゅうせい,"amendment,correction,revision,modification"
喜び,よろこび,"(a) joy,(a) delight,rapture,pleasure,gratification,rejoicing,congratulations,felicitations"
声,こえ,Voice
文字,もんじ,"letter (of alphabet),character"
太い,ふとい,fat
塩辛い,しおからい,salty (taste)
方,かた,"person, way of doing"
渇く,かわく,to be thirsty
道順,みちじゅん,"itinerary,route"
億,おく,one hundred million
予定,よてい,arrangement
湧く,わく,"to boil,to grow hot,to get excited,to gush forth"
配る,くばる,"to distribute,to deliver"
乾電池,かんでんち,"dry cell,battery"
