絶えず,たえず,constantly
性,せい,"sex,gender"
夫人,ふじん,"wife,Mrs,madam"
平気,へいき,"coolness,calmness,composure,unconcern"
物音,ものおと,sounds
事務,じむ,"business,office work"
確か,たしか,definite
務め,つとめ,"(1) service,duty,(2) Buddhist religious services"
辞める,やめる,to retire
泊める,とめる,"to give shelter to,to lodge"
疑う,うたがう,"to doubt,to distrust,to be suspicious of,to suspect"
重要,じゅうよう,"important,momentous,essential,principal,major"
翼,つばさ,wings
男性,だんせい,male
夕飯,ゆうはん,dinner
重力,じゅうりょく,gravity
農民,のうみん,"farmers,peasants"
供給,きょうきゅう,"supply,provision"
立場,たちば,"standpoint,position,situation"
遭う,あう,"to meet,to encounter (undesirable nuance)"
今週,こんしゅう,this week
論じる,ろんじる,"to argue,to discuss,to debate"
猫,ねこ,cat
嗅ぐ,かぐ,"to sniff,to smell"
極,ごく,"quite,very"
湯飲み,ゆのみ,teacup
祖母,そぼ,grandmother
紺,こん,"navy blue,deep blue"
釜,かま,"iron pot,kettle"
吸収,きゅうしゅう,"absorption,suction,attraction"
心配,しんぱい,"worry,concern,anxiety,care"
主義,しゅぎ,"doctrine,rule,principle"
逸れる,それる,"to stray (turn) from subject,to get lost,to go astray"
応援,おうえん,"aid,assistance,help,reinforcement"
河,かわ,"river,stream"
失恋,しつれん,"disappointed love,broken heart,unrequited love,be lovelorn"
毛,け,hair or fur
取り入れる,とりいれる,"to harvest,to take in,to adopt"
速力,そくりょく,speed
芝生,しばふ,lawn
酸素,さんそ,oxygen
成分,せいぶん,"ingredient,component,composition"
予習,よしゅう,preparation for a lesson
簡単,かんたん,simple
生じる,しょうじる,"to produce,to yield,to result from,to arise,to be generated"
真似る,まねる,"to mimic,to imitate"
穀物,こくもつ,"grain,cereal,corn"
表情,ひょうじょう,facial expression
工事,こうじ,construction work
分,ぶん,"dividing,part,segment"
雷,かみなり,thunder
一昨年,いっさくねん,year before last
世話,せわ,"looking after,help,aid,assistance"
取れる,とれる,"to come off,to be taken off,to be removed"
煉瓦,れんが,brick
順序,じゅんじょ,"order,sequence,procedure"
その頃,そのころ,at that time; in those days; at that moment; then
遠慮,えんりょ,"diffidence,restraint,reserve"
接近,せっきん,"getting closer,drawing nearer,approaching"
拡充,かくじゅう,expansion
保証,ほしょう,"guarantee,security,assurance,pledge,warranty"
言う,いう,to say
涙,なみだ,tear
社会科学,しゃかいかがく,social science
男子,だんし,"youth,young man"
就任,しゅうにん,"inauguration,assumption of office"
例外,れいがい,exception
札,さつ,"(1) token,label,(2) ticket,(3) charm"
坂,さか,"slope,hill"
起きる,おきる,to get up
砂糖,さとう,Sugar
好き,すき,Likeable
瓶詰,びんづめ,"bottling,bottled"
特売,とくばい,special sale
お風呂,おふろ,Bath
帰る,かえる,to go back
作法,さほう,"manners,etiquette,propriety"
券,けん,"ticket,coupon,bond,certificate"
古典,こてん,"old book,classics,classic"
倒れる,たおれる,to break down
生存,せいぞん,"existence,being,survival"
感想,かんそう,"impressions,thoughts"
転がす,ころがす,to roll
上級,じょうきゅう,"advanced level,high grade,senior"
上,じょう,"(1) first volume,(2) superior quality,(3) governmental"
起床,きしょう,"rising,getting out of bed"
疲れる,つかれる,to get tired
分かれる,わかれる,"to branch off,to diverge from,to fork,to split,to dispense,to scatter,to divide into"
無,む,"nothing,naught,nil,zero"
夕方,ゆうがた,evening
身体,しんたい,the body
中学,ちゅうがく,"middle school,junior high school"
独り,ひとり,"alone,unmarried"
誕生,たんじょう,birth
人,ひと,person
昼休み,ひるやすみ,noon break
手首,てくび,wrist
暖房,だんぼう,heating
方角,ほうがく,"direction,way,compass point"
含む,ふくむ,"to hold in the mouth,to bear in mind"
語る,かたる,"to talk,to tell,to recite"
泊まる,とまる,to lodge at
占う,うらなう,"to forecast,to predict"
始める,はじめる,to begin
注す,さす,"to pour (drink),to serve (drinks)"
価格,かかく,"price,value,cost"
生長,せいちょう,"growth,increment"
参考,さんこう,"reference,consultation"
最高,さいこう,"highest,supreme,the most"
実に,じつに,"indeed,truly,surely"
棚,たな,shelves
教科書,きょうかしょ,text book
深夜,しんや,late at night
送別,そうべつ,"farewell,send-off"
契約,けいやく,"contract,compact,agreement"
電柱,でんちゅう,"telephone pole,telegraph pole,lightpole"
限る,かぎる,"to restrict,to limit,to confine"
循環,じゅんかん,"circulation,rotation,cycle"
市場,いちば,(the) market (as a concept)
冷静,れいせい,"calm,composure,coolness,serenity"
納得,なっとく,"consent,assent,understanding"
工員,こういん,factory worker
事態,じたい,"situation,present state of affairs"
縁,ふち,"a means, e.g. of living"
厚かましい,あつかましい,"impudent,shameless,brazen"
確かめる,たしかめる,to ascertain
形,かたち,shape
予防,よぼう,"prevention,precaution,protection against"
係わる,かかわる,"to concern oneself in,to have to do with,to affect,to influence,to stick to (opinions)"
食料,しょくりょう,food
大凡,おおよそ,"about,roughly,as a rule,approximately"
行事,ぎょうじ,"event,function"
倣う,ならう,"to imitate,to follow,to emulate"
方言,ほうげん,dialect
健康,けんこう,"health,sound,wholesome"
差別,さべつ,"discrimination,distinction,differentiation"
使用,しよう,"use,application,employment,utilization"
新聞社,しんぶんしゃ,newspaper company
連続,れんぞく,"serial,consecutive,continuity,continuing"
寸法,すんぽう,"measurement,size,dimension"
次ぐ,つぐ,"to rank next to,to come after"
全集,ぜんしゅう,complete works
活字,かつじ,printing type
住居,じゅうきょ,"dwelling,house,residence,address"
留守番,るすばん,"care-taking,caretaker,house-watching"
押える,おさえる,"to stop,to restrain,to seize,to repress,to suppress,to press down"
何,なん/なに,what
裏,うら,reverse side
限度,げんど,"limit,bounds"
賛成,Uӣ[い,"approval,agreement,support,favour"
中世,ちゅうせい,"Middle Ages,mediaeval times"
近付ける,ちかづける,"to bring near,to put close,to let come near,to associate with"
被せる,かぶせる,to cover (with something)
作品,さくひん,"work,opus,performance,production"
随筆,ずいひつ,"essays,miscellaneous writings"
書取,かきとり,dictation
最後,さいご,"last,end"
頬,ほほ,cheek (of face)
計,けい,plan
影,かげ,"shade,shadow,other side"
倒す,たおす,"to throw down,to beat,to bring down,to blow down"
資源,しげん,resources
お礼,おれい,expression of gratitude
凍える,こごえる,"to freeze,to be chilled,to be frozen"
午後,ごご,afternoon
炎,ほのお,flame
幸せ,しあわせ,"happiness,good fortune,luck,blessing"
屋外,おくがい,outdoors
怪しい,あやしい,"suspicious,dubious,doubtful"
家内,かない,housewife
花,はな,flower
稼ぐ,かせぐ,"to earn income,to labor"
伝わる,つたわる,"to be handed down,to be introduced,to be transmitted"
過剰,かじょう,"excess,over-"
不安,ふあん,"anxiety,uneasiness,insecurity,suspense"
回り道,まわりみち,detour
必ずしも,かならずしも,"(not) always,(not) necessarily,(not) all,(not) entirely"
堅/硬/固い,かたい,hard
満員,まんいん,"full house,no vacancy,sold out"
速達,そくたつ,"express,special delivery"
氷,こおり,"ice,hail"
当たる,あたる,"to be hit,to be successful,to be equivalent to"
薄い,うすい,"thin,weak"
石,いし,stone
駐車,ちゅうしゃ,parking (e.g. car)
畳,たたみ,Japanese straw mat
扇子,せんす,folding fan
出掛ける,でかける,"to depart,to set out,to start,to be going out"
系統,けいとう,"system,family line,geological formation"
知る,しる,to know
逆様,さかさま,"inversion,upside down"
響く,ひびく,to resound
電子,でんし,electron
毎晩,まいばん,every night
思い込む,おもいこむ,"to be under impression that,to be convinced that"
超える,こえる,"to exceed,to cross over,to cross"
擦る,こする,"to rub,to chafe,to file,to frost (glass),to strike (match)"
手続き,てつづき,"procedure,(legal) process,formalities"
警察,けいさつ,police
医師,いし,"doctor,physician"
解く,とく,to unfasten
少しも,すこしも,"anything of,not one bit"
字,じ,character
博物館,はくぶつかん,museum
代名詞,だいめいし,pronoun
頬,ほお,cheek (of face)
滑る,すべる,"to slide,to slip"
斜め,ななめ,obliqueness
酸性,さんせい,acidity
示す,しめす,"to denote,to show,to point out,to indicate"
通じる,つうじる,"to run to,to lead to,to communicate,to understand"
現実,げんじつ,reality
無沙汰,ぶさた,neglecting to stay in contact
桁,けた,"column,beam,digit"
申し上げる,もうしあげる,"(humble) to say,to tell"
信用,しんよう,"confidence,dependence,credit,faith"
強引,ごういん,"overbearing,coercive,pushy,forcible,high-handed"
平野,へいや,"plain,open field"
後,うしろ,"afterwards,since then,in the future"
算数,さんすう,arithmetic
寝台,しんだい,"bed,couch"
男の人,おとこのひと,man
外国,がいこく,foreign country
国,くに,Country
辛い,からい,Spicy
物語,ものがたり,"tale,story,legend"
寒い,さむい,Cold
猿,さる,monkey
目安,めやす,"criterion,aim"
引出す,ひきだす,"to pull out,to take out,to draw out,to withdraw"
活力,かつりょく,"vitality,energy"
継続,けいぞく,continuation
一度に,いちどに,all at once
失う,うしなう,"to lose,to part with"
下旬,げじゅん,month (last third of)
明らか,あきらか,"obvious,evident,clear"
任せる,まかせる,"to entrust to another,to leave to"
肌着,はだぎ,underwear
上,うえ,on top of
蕎麦,そば,soba (buckwheat noodles)
服装,ふくそう,garments
太陽,たいよう,"sun,solar"
美しい,うつくしい,beautiful
油断,ゆだん,"negligence,unpreparedness"
女性,じょせい,woman
いえ,いえ,TODO same as いいえ?
黄色,きいろ,yellow
定価,ていか,established price
過半数,かはんすう,majority
高度,こうど,"altitude,height,advanced"
向ける,むける,"to turn towards,to point"
重なる,かさなる,"to be piled up,lie on top of one another,overlap each other"
草履,ぞうり,"zoori (Japanese footwear),sandals"
運ぶ,はこぶ,to transport
北,きた,North
毎月,まいげつ/まいつき,every month
最も,もっとも,"most,extremely"
問題,もんだい,problem
全て,すべて,"all,the whole,entirely,in general,wholly"
直角,ちょっかく,right angle
大家,おおや,"rich family,distinguished family"
植物,しょくぶつ,"plant,vegetation"
誓う,ちかう,"to swear,to vow,to take an oath,to pledge"
仮名遣い,かなづかい,"kana orthography,syllabary spelling"
拍手,はくしゅ,"clapping hands,applause"
団体,だんたい,"organization,association"
個所,かしょ,"passage,place,point,part"
快適,かいてき,"pleasant,agreeable,comfortable"
会員,かいいん,"member,the membership"
拝む,おがむ,"to worship,to beg,to make a supplication"
虫歯,むしば,"cavity,tooth decay,decayed tooth,caries"
切れる,きれる,"(1) to cut well,to be sharp,(2) to break (off)"
眺め,ながめ,"scene,view,prospect,outlook"
消防,しょうぼう,"fire fighting,fire department"
工場,こうば,"factory,plant,mill,workshop"
月,つき,"moon,month"
原料,げんりょう,raw materials
先程,さきほど,some time ago
停止,ていし,"suspension,interruption,stoppage,ban"
乾かす,かわかす,"to dry (clothes, etc.),to desiccate"
余計,よけい,"too much,unnecessary,abundance,surplus,excess,superfluity"
出発,しゅっぱつ,departure
缶詰,かんづめ,"packing (in cans),canning,canned goods,tin can"
敬語,けいご,"honorific,term of respect"
建物,たてもの,building
田,た,rice field
汚い,きたない,Dirty
経度,けいど,longitude
先週,せんしゅう,last week
轢く,ひく,"to run somebody over (with vehicle),to knock someone down"
指す,さす,"to point,to put up umbrella,to play"
低い,ひくい,"short,low"
今日,こんにち,"today,this day"
磁石,じしゃく,magnet
方法,ほうほう,"method,manner,way,means,technique"
発揮,はっき,"exhibition,demonstration,utilization,display"
有利,ゆうり,"advantageous,better,profitable,lucrative"
掏摸,すり,pickpocket
減る,へる,"to decrease (in size or number),to diminish,to abate"
否定,ひてい,"negation,denial,repudiation"
党,とう,party (political)
庭,にわ,garden
募集,ぼしゅう,"recruiting,taking applications"
指,ゆび,finger
受付,うけつけ,receipt
洗う,あらう,to wash
殖やす,ふやす,"to increase,to add to,to augment"
時,とき,"(1) time,hour,(2) occasion,moment"
職,しょく,employment
服,ふく,clothes
沈む,しずむ,"to sink,to feel depressed"
更に,さらに,"furthermore,again,after all,more and more,moreover"
面積,めんせき,area
私,わたし,"I,myself"
十,とお,"10,ten"
一通り,ひととおり,"ordinary,usual,in general,briefly"
血圧,けつあつ,blood pressure
岸,きし,"bank,coast,shore"
浮ぶ,うかぶ,"to float,to rise to surface,to come to mind"
粒,つぶ,grain
一方,いっぽう,"(1) on the other hand,(2) meanwhile,(3) only,simple,in turn"
増える,ふえる,to increase
毛布,もうふ,blanket
一昨日,おととい,day before yesterday
理想,りそう,ideal
実る,みのる,"to bear fruit,to ripen"
外科,げか,surgical department
支度,したく,preparation
十,じゅう とお,Ten
統一,とういつ,"unity,consolidation,uniformity"
息子,むすこ,(humble) son
大層,たいそう,"very much,exaggerated,very fine"
保健,ほけん,"health preservation,hygiene,sanitation"
堀,ほり,"moat,canal"
訳,わけ,"meaning,reason"
車庫,しゃこ,"garage,car shed"
誤解,ごかい,misunderstanding
過去,かこ,"the past,bygone days,the previous"
少年,しょうねん,"boys,juveniles"
苦い,にがい,bitter
追い掛ける,おいかける,"to chase or run after someone,to run down,to pursue"
劣る,おとる,"to fall behind,to be inferior to"
申請,しんせい,"application,request,petition"
輸出,ゆしゅつ,export
出席,しゅっせき,"attendance,presence"
青,あお,blue
根,ね,root
支給,しきゅう,"payment,allowance"
診察,しんさつ,medical examination
女王,じょおう,queen
森林,しんりん,"forest,woods"
出来るだけ,できるだけ,if at all possible
事務所,じむしょ,office
騒音,そうおん,noise
鐘,かね,"bell,chime"
申す,もうす,"(humble) to be called,to say"
旅館,りょかん,Japanese hotel
会合,かいごう,"meeting,assembly"
続き,つづき,"sequel,continuation"
交通機関,こうつうきかん,transportation facilities
調べる,しらべる,to investigate
末,すえ,"the end of,powder"
家事,かじ,"housework,domestic chores"
大半,たいはん,"majority,mostly,generally"
球,たま,"globe,sphere,ball"
機会,きかい,opportunity
小数,しょうすう,"fraction (part of),decimal"
贈る,おくる,"to send,to give to,to award to,to confer on"
大小,だいしょう,size
止める,とめる,to stop something
揺れる,ゆれる,"to shake,to sway"
丸い/円い,まるい,"round,circular"
空っぽ,からっぽ,"empty,vacant,hollow"
唯,ただ,"free of charge,mere,sole,only,usual,common"
夏,なつ,summer
感ずる,かんずる,"to feel,to sense"
文学,ぶんがく,literature
少女,しょうじょ,"daughter,young lady,virgin,maiden,little girl"
輪,わ,"ring,hoop,circle"
論文,ろんぶん,"thesis,essay,treatise,paper"
金属,きんぞく,metal
一般,いっぱん,"general,liberal,universal,ordinary,average"
部長,ぶちょう,head of a section
輸血,ゆけつ,blood transfusion
食べ物,たべもの,food
高める,たかめる,"to raise,to lift,to boost"
単なる,たんなる,"mere,simple,sheer"
亡くす,なくす,"to lose someone, wife, child, etc"
因る,よる,to come from
心,こころ,"core,heart"
微妙,びみょう,"delicate,subtle"
不足,ふそく,"insufficiency,shortage,deficiency,lack,dearth"
少ない,すくない,a few
胡椒,こしょう,pepper
嫁,よめ,"bride,daughter-in-law"
流行,りゅうこう,"fashionable,fad,in vogue,prevailing"
造船,ぞうせん,shipbuilding
主婦,しゅふ,"housewife,mistress"
不満,ふまん,"dissatisfaction,displeasure,discontent,complaints,unhappiness"
尊敬,そんけい,"respect,esteem,reverence,honour"
狙い,ねらい,aim
譲る,ゆずる,"to turn over,to assign,to hand over"
注ぐ,つぐ,"to pour (into),to irrigate,to pay"
稽古,けいこ,"practice,training,study"
騒がしい,さわがしい,noisy
検討,けんとう,"consideration,examination,investigation,study,scrutiny"
基地,きち,base
承る,うけたまわる,"(hum) to hear,to be told,to know"
対する,たいする,"to face,to confront,to oppose"
畑,はたけ,field
出合い,であい,an encounter
兎,うさぎ,"rabbit,hare,cony"
教育,きょういく,education
櫛,くし,comb
公表,こうひょう,"official announcement,proclamation"
嬉しい,うれしい,"happy,glad,pleasant"
偶然,ぐうぜん,"(by) chance,unexpectedly,suddenly"
検査,けんさ,"inspection (e.g. customs, factory),examination"
垂直,すいちょく,"vertical,perpendicular"
牛肉,ぎゅうにく,Beef
幸い,さいわい,"happiness,blessedness"
砕く,くだく,"to break,to smash"
塵芥,ごみ,"trash,rubbish"
申し訳ない,もうしわけない,inexcusable
実施,じっし,"enforcement,enact,put into practice,carry out,operation"
客,きゃく,"guest,customer"
物,もの,thing
感謝,かんしゃ,"thanks,gratitude"
静まる,しずまる,"to quieten down,to calm down,to subside"
瓦,かわら,roof tile
その,その,"the,that"
教会,きょうかい,church
一家,いっか,"a house,a home,a family,a household"
飢える,うえる,to starve
狂う,くるう,"to go mad,to get out of order"
容易,ようい,"easy,simple,plain"
役目,やくめ,"duty,business"
科目,かもく,"(school) subject,curriculum,course"
氏,し,"family name,lineage,birth"
率土,そっと,face of the earth
提出,ていしゅつ,"presentation,submission,filing"
伸びる,のびる,"to stretch,to extend,to make progress,to grow (beard, body height)"
宜しく,よろしく,"well,properly,suitably,best regards,please remember me(usually kana)"
飢饉,ききん,famine
帰宅,きたく,returning home
誇り,ほこり,pride
泥棒,どろぼう,thief
局,きょく,"court lady,lady in waiting"
少し,すこし,Few
抽象,ちゅうしょう,abstract
飼う,かう,"to keep,to raise,to feed"
雪,ゆき,snow
褒める,ほめる,"to praise,to admire,to speak well"
出かける,でかける,to go out
先月,せんげつ,last month
濠,ほり,moat
打合せ,うちあわせ,"business meeting,previous arrangement,appointment"
参加,さんか,participation
単語,たんご,"word,vocabulary,(usually) single-character word"
建築,けんちく,"construction,architecture"
着々,ちゃくちゃく,steadily
主要,しゅよう,"chief,main,principal,major"
越える,こえる,"to exceed,to cross over,to cross"
技師,ぎし,"engineer,technician"
意見,いけん,opinion
空く,あく,"to open, to become empty"
開ける,あける,to open
自殺,じさつ,suicide
場合,ばあい,situation
知恵,ちえ,"wisdom,wit,sagacity,sense,intelligence,advice"
婚約,こんやく,"engagement,betrothal"
空,そら,Sky
怪我,けが,"injury (to animate object),hurt"
寝巻,ねまき,"sleep-wear,nightclothes,pyjamas,nightgown,nightdress"
足袋,たび,"tabi,Japanese socks (with split toe)"
頼る,たよる,"to rely on,to have recourse to,to depend on"
応対,おうたい,"receiving,dealing with"
作家,さっか,"author,writer,novelist,artist"
現す,あらわす,"to show,to indicate,to display"
意外,いがい,"unexpected,surprising"
禁止,きんし,"prohibition,ban"
在学,ざいがく,(enrolled) in school
評判,ひょうばん,"fame,reputation,popularity,arrant"
摩擦,まさつ,"friction,rubbing,rubdown,chafe"
水曜日,すいようび,Wednesday
都心,としん,heart (of city)
膨大,ぼうだい,"huge,bulky,enormous,extensive,swelling,expansion"
階段,かいだん,Stairs
努める,つとめる,"(1) to serve,to fill a post,to serve under,to work (for)"
お祭り,おまつり,festival
油,あぶら,oil
久しぶり,ひさしぶり,after a long time
逆,ぎゃく,"reverse,opposite"
友好,ゆうこう,friendship
近寄る,ちかよる,"to approach,to draw near"
七つ,ななつ,seven
違いない,ちがいない,"(phrase) sure,no mistaking it,for certain"
殖える,ふえる,"to increase,to multiply"
注射,ちゅうしゃ,injection
巣,す,"nest,rookery,breeding place,beehive,cobweb"
頂点,ちょうてん,"top,summit"
年齢,ねんれい,"age,years"
今月,こんげつ,this month
一人一人,ひとりひとり,"one by one,each,one at a time"
節約,せつやく,"economising,saving"
拝見,はいけん・する,(humble) to look at
首相,しゅしょう,Prime Minister
適当,てきとう,suitability
解釈,かいしゃく,"explanation,interpretation"
お弁当,おべんとう,boxed lunch
停車,ていしゃ,stopping (e.g. train)
店,みせ,shop
日,ひ,"day, sun"
誘う,さそう,"(1) to invite,to ask,(2) to tempt,to lure,to induce"
裸,はだか,"naked,nude"
幸運,こううん,"good luck,fortune"
規準,きじゅん,"standard,basis,criteria,norm"
溶け込む,とけこむ,to melt into
灯,ひ,light
六日,むいか,"six days, sixth day of the month"
玄関,げんかん,entry hall
地下,ちか,"basement,underground"
朗らか,ほがらか,"brightness,cheerfulness,melodious"
火災,かさい,"conflagration,fire"
筆者,ひっしゃ,"writer,author"
酔っ払い,よっぱらい,drunkard
昔,むかし,"olden days, former"
写真,しゃしん,photograph
沖,おき,open sea
儲ける,もうける,"to get,to earn,to gain,to have (bear, beget) a child"
実は,じつは,"as a matter of fact,by the way"
悩む,なやむ,"to be worried,to be troubled"
通用,つうよう,"popular use,circulation"
掘る,ほる,"to dig,to excavate"
費用,ひよう,"cost,expense"
新た,あらた,"new,fresh,novel"
無限,むげん,infinite
自治,じち,"self-government,autonomy"
届く,とどく,to reach
活躍,かつやく,activity
差し引き,さしひき,"deduction,subtraction,balance,ebb and flow,rise and fall"
脇,わき,side
急ぐ,いそぐ,to hurry
並ぶ,ならぶ,"to line up,to stand in a line"
真っ先,まっさき,"the head,the foremost,beginning"
牧畜,ぼくちく,stock-farming
適確,てきかく,"precise,accurate"
一定,いってい,"fixed,settled,definite"
図表,ずひょう,"chart,diagram,graph"
超す,こす,"to cross,to pass,to tide over"
島,しま,island
機関車,きかんしゃ,"locomotive,engine"
座布団,ざぶとん,cushion (Japanese)
相違,そうい,"difference,discrepancy,variation"
春,はる,spring
蛍光灯,けいこうとう,"fluorescent lamp,person who is slow to react"
鑑賞,かんしょう,appreciation
勝敗,しょうはい,"victory or defeat,issue (of battle)"
お腹,おなか,stomach
確実,かくじつ,"certainty,reliability,soundness"
印象,いんしょう,impression
万,まん,ten thousand
淡水,たんすい,fresh water
向く,むく,to face
見事,みごと,"splendid,magnificent,beautiful,admirable"
調味料,ちょうみりょう,"condiment,seasoning"
偶,たま,"even number,couple,man and wife,friend"
算盤,そろばん,abacus
稲,いね,rice-plant
変更,へんこう,"change,modification,alteration"
遡る,さかのぼる,"to go back,to go upstream,to make retroactive"
瀬戸物,せともの,"earthenware,crockery,china"
投げる,なげる,to throw or cast away
焼ける,やける,"to burn,to be roasted"
家賃,やちん,rent
加わる,くわわる,"to join in,to accede to,to increase,to gain in (influence)"
義務,ぎむ,"duty,obligation,responsibility"
含める,ふくめる,"to include,to instruct,to make one understand"
太鼓,たいこ,"drum,tambourine"
断水,だんすい,water outage
震える,ふるえる,"to shiver,to shake,to quake"
救助,きゅうじょ,"relief,aid,rescue"
伯母さん/叔母さん,おばさん,Aunt
御無沙汰,ごぶさた,not writing or contacting for a while
何で,なんで,"Why?,What for?"
余分,よぶん,"extra,excess,surplus"
解答,かいとう,"answer,solution"
病院,びょういん,hospital
孫,まご,grandchild
署名,しょめい,signature
看板,かんばん,"sign,signboard,doorplate,poster"
学校,がっこう,School
土曜日,どようび,Saturday
済む,すむ,to finish
紫,むらさき,"purple colour,violet"
借金,しゃっきん,"debt,loan,liabilities"
専制,せんせい,"despotism,autocracy"
常識,じょうしき,common sense
倍,ばい,double
過ぎる,すぎる,to exceed
彫刻,ちょうこく,"carving,engraving,sculpture"
巡る,めぐる,to go around
文芸,ぶんげい,"literature,art and literature,belles-lettres"
帰す,かえす,to send back
度,たび,counter for occurrences
見出し,みだし,"heading,caption,subtitle,index"
お手伝いさん,おてつだいさん,maid
目指す,めざす,"to aim at,to have an eye on"
塞がる,ふさがる,"to be plugged up,to be shut up"
泣く,なく,to weep
思想,しそう,"thought,idea"
資本,しほん,"funds,capital"
郵便局,ゆうびんきょく,post office
目印,めじるし,"mark,sign,landmark"
国会,こっかい,"National Diet,parliament,congress"
演説,えんぜつ,"speech,address"
後,のち,"afterwards,since then,in the future"
賞,しょう,"prize,award"
不思議,ふしぎ,"mystery,curiosity"
生,せい,"(1) draft (beer),(2) raw,unprocessed"
Ͼ立,たいりつ,"confrontation,opposition,antagonism"
日の出,ひので,sunrise
有無,うむ,"yes or no,existence,flag indicator (comp),presence or absence marker"
足跡,あしあと,footprints
六つ,むっつ,six
昼,ひる,"noon, daytime"
混合,こんごう,"mixing,mixture"
座る,すわる,to sit
妹,いもうと,(humble) younger sister
割と,わりと,"relatively, comparitively"
大いに,おおいに,"very,much,greatly"
主に,おもに,"mainly,primarily"
射す,さす,"to shine,to strike"
需要,じゅよう,"demand,request"
国際,こくさい,international
冷ます,さます,"to cool,to dampen,to let cool"
時間,じかん,Time
合図,あいず,"sign,signal"
散らかる,ちらかる,"to be in disorder,to lie scattered around"
無くなる,なくなる,"to disappear,to get lost"
日程,にってい,agenda
容器,ようき,"container,vessel"
結局,けっきょく,"after all,eventually"
恋,こい,"love,tender passion"
辞書,じしょ,Dictionary
境,さかい,"border,boundary,mental state"
不,ぶ,"un,non,negative prefix"
天皇,てんのう,Emperor of Japan
精々,せいぜい,"at the most,at best,to the utmost,as much (far) as possible"
縞,しま,stripe
間接,かんせつ,"indirection,indirectness"
煙い,けむい,smoky
銀,ぎん,"(1) silver,silver coin,silver paint"
売店,ばいてん,"shop,stand"
一時,いちじ,"moment,time"
無くす,なくす,to lose something
黒,くろ,Black
迷子,まいご,lost (stray) child
原因,げんいん,"cause,source"
引っ込む,ひっこむ,"to draw back,to sink,to cave in"
正確,せいかく,"accurate,punctuality,exactness,authenticity,veracity"
正直,しょうじき,"honesty,integrity,frankness"
三日月,みかづき,"new moon,crescent moon"
椅子,いす,chair
痛み,いたみ,"pain,ache,sore,grief,distress"
足る,たる,"to be sufficient,to be enough"
同僚,どうりょう,"coworker,colleague,associate"
予期,よき,"expectation,assume will happen,forecast"
高価,こうか,high price
悪口,わるくち,"abuse,insult,slander,evil speaking"
空き,あき,"room,time to spare,emptiness"
屋根,やね,roof
自慢,じまん,"pride,boast"
働く,はたらく,to work
区分,くぶん,"division,section,classification"
遠足,えんそく,"trip,hike,picnic"
気圧,きあつ,atmospheric pressure
読書,どくしょ,reading
祖父,そふ,grandfather
針,はり,"needle,hand (e.g. clock)"
信頼,しんらい,"reliance,trust,confidence"
中性,ちゅうせい,"neuter gender,neutral (chem.),indifference,sterility"
組合せ,くみあわせ,combination
物置,ものおき,storage room
学問,がくもん,"scholarship,study,learning"
秘密,ひみつ,"secret,secrecy"
汚れる,よごれる,to get dirty
指定,してい,"designation,specification,assignment,pointing at"
旧,きゅう,ex-
重視,じゅうし,"importance,stress,serious consideration"
自習,じしゅう,self-study
喧嘩,けんか,"quarrel,(drunken) brawl,failure"
宝石,ほうせき,"gem,jewel"
末っ子,すえっこ,youngest child
下線,かせん,"underline,underscore"
贈り物,おくりもの,gift
政党,せいとう,(member of) political party
