ある,to be; to exist; to live; to have; to be located; to be equipped with; to happen; to come about,有る,Godan verb with ru ending (irregular verb); intransitive verb
もむ,to rub; to crumple; to massage; to argue; to have a heated discussion; to train; to coach; to jostle; to crowd; to shake; to rock,揉む,Godan verb with mu ending; Transitive verb
かしこまりました,certainly!,畏まりました,Expression
うどん,udon; thick Japanese wheat noodles,饂飩,Noun
さじ,spoon,匙,Noun
ならう,to imitate; to follow; to emulate,倣う,Godan verb with u ending; intransitive verb
ひとまず,for now; for the time being; for the present; though not quite satisfactorily; after a fashion,一先ず,Adverb
しょうがない,it is what it is; it can't be helped; it is inevitable; nothing can be done,仕様がない,Expression; I-adjective
いとこ,cousin (female),従姉妹,Noun
いってらっしゃい,have a good day; take care; see you,行ってらっしゃい,
じゃんけん,"rock, paper, scissors game; janken",じゃん拳,Noun; Suru verb
あくまで,to the end; to the bitter end; to the last; stubbornly; after all; it must be remembered; only; purely,飽くまで,Adverb
かじる,to gnaw; to nibble; to bite; to munch; to dabble in; to have a smattering of,齧る,Godan verb with ru ending; Transitive verb
おかず,"side dish; okazu; side dish (meat, fish, pickles, etc.) accompanying the rice in a typical Japanese meal",お菜,Noun
インク,ink,,Noun; No-adjective
バランス,balance; Valence (France); Vallance,,Noun; Suru verb; Place
ダム,dam; dumb; Ad Dam (Saudi Arabia); Damme (Belgium); Damm,,Noun; Noun or verb acting prenominally; Place
ウール,wool; Eure (France),,Noun; Place
パターン,pattern; behavioural pattern; behavioral pattern; predictability; force of habit; Patan (Nepal),,Noun; Place
おばさん,aunt,伯母さん,Noun
ブローチ,brooch; Broach,,Noun; Place
そうして,and; like that,然うして,Conjunction
バケツ,bucket; pail; skip,,Noun
モデル,"model; dummy; mock-up; model (profession); fashion model; model (of a car, etc.); make; version; model; example; template; standard; model (in model theory); theory",,Noun
ブラウス,blouse,,Noun
ステージ,stage; performance,,Noun
ハンドル,handle; steering wheel; (bicycle) handlebar,,Noun
ピンク,pink; erotic (usually used in relation to the sex industry); blue; pornographic,,Noun; No-adjective
マラソン,marathon; long-distance race; malathion,,Noun
ダイヤモンド,"diamond (mineral, gemstone); diamond; infield; diamond (card suit)",,Noun
リボン,ribbon,,Noun
ブラシ,brush; brushy; blush,,Noun; Noun or verb acting prenominally
ネックレス,necklace,,Noun
センチ,centimeter; centimetre; centi-; 10^-2; sentimental,,Noun; Prefix; Na-adjective
ヘリコプター,helicopter,,Noun
マンション,condominium (often mid-rise or high-rise concrete); apartment building; apartment house; apartment,,Noun
レインコート,raincoat; mackintosh; macintosh; trench coat,,Noun
プラットホーム,platform,,Noun
プログラム,program; programme,,Noun; Suru verb
ジャーナリスト,journalist,,Noun
アクセント,"accent (on a syllable, word); stress; pitch accent; intonation; inflection; cadence; (language) accent (e.g. American, British); accent (e.g. in a design)",,Noun
スタート,start,,Noun; Suru verb
チョーク,chalk; choke; chock,,Noun; No-adjective
カバー,cover; covering; dust jacket; cover song; cover version; coverage; to compensate for (a loss); to offset (a weakness); to back up,,Noun; Suru verb
ボーナス,bonus,,Noun
セメント,cement,,Noun
サラリーマン,office worker; company employee; company man; salaryman (stereotypical Japanese office worker),,Noun
インタビュー,"interview (i.e. television, newspaper, etc.)",,Noun; Suru verb
ダイヤル,"dial (e.g. telephone, radio, clock, gauge)",,Noun; Suru verb
テーマ,theme; topic; subject matter; motif,,Noun
シーツ,sheet; bed sheet,,Noun
ビタミン,vitamin,,Noun
ポスター,poster,,Noun
リズム,rhythm,,Noun
カロリー,calorie,,Noun; No-adjective
サイレン,siren,,Noun; No-adjective
ロッカー,locker; rocker,,Noun
ナイロン,nylon,,Noun
キャンパス,campus,,Noun
ファスナー,fastener; zipper,,Noun
フライパン,fry pan; frying pan,,Noun
コンクール,competition; contest,,Noun
リットル,litre,,Noun
レジャー,leisure,,Noun
レンズ,lens,,Noun
アンテナ,antenna; thing or method used to collect information or opinions,,Noun
ストップ,stop,,Noun; Suru verb
スピーカー,speaker,,Noun
マスク,(face) mask; (facial) features; looks; mask (e.g. for circuit etching),,Noun
スライド,slide (for projection); transparency; (microscope) slide; to slide; to slip; to shift (e.g. a group of items in a schedule); to move,,Noun; Suru verb
テンポ,tempo,,Noun
オルガン,organ (musical instrument),,Noun
ミシン,sewing machine,,Noun
シリーズ,series,,Noun; Noun - used as a suffix
スマート,smart; stylish; slim,,Na-adjective; Noun
ミリ,milli-; 10^-3; millimetre; millimeter,,Prefix; Noun
チップ,tip; gratuity; chip; microchip; poker chip; chip (shot),,Noun
サンプル,sample; example; specimen; display model (e.g. plastic food models used by restaurants),,Noun
バンド,"band; to perform in a band; to create a (pop) band; The Bund (Shanghai, China)",,Noun; Suru verb
ギャング,gang; gangster,,Noun
ストッキング,stockings,,Noun
コレクション,collection; correction,,Noun
イコール,"equal; equivalent; equals sign; equality sign; equals (as in ""A equals B"")",,Na-adjective; Noun; Expression
コーラス,chorus,,Noun
エプロン,apron; apron (airport); apron (stage),,Noun
レポート,report; paper; reportage,,Noun; Suru verb
ずっと,"continuously in some state (for a long time, distance); throughout; all along; the whole time; much (better, etc.); by far; far and away; far away",,Adverb
それぞれ,each; respectively,夫れ夫れ,Adverbial noun; No-adjective
あちこち,here and there; all around; everywhere; throughout; to get things in the wrong order (back to front); to become muddled up,彼方此方,Adverb; Pronoun; Suru verb
ごみ,rubbish; trash; garbage; refuse,塵,Noun
コース,"course; route; trail; course (of study); program; lane (in running, swimming, etc.); course (of action); policy; track; path; course (of a multi-course meal)",,Noun; Place
おおよそ,about; roughly; approximately; generally; on the whole; as a rule; completely; quite; entirely; altogether; outline; gist,大凡,Adverb; Noun; No-adjective
しみじみ,"keenly; deeply; fully; heartily; calmly; quietly; softly; fixedly (e.g. gazing, staring)",沁み沁み,Adverb; Adverb taking the 'to' particle
あぶる,to warm (e.g. one's hands over a fire); to dry; to toast; to grill; to broil; to roast,炙る,Godan verb with ru ending; Transitive verb
なだらか,gently sloping; gentle; easy; smooth,傾らか,Na-adjective; Noun
こないだ,the other day; lately; recently,此間,Adverbial noun; Temporal noun
つなげる,to tie; to fasten; to connect; to transfer (phone call),繋げる,Ichidan verb; Transitive verb
とどまる,to remain; to abide; to stay (in the one place); to be limited to; to be confined to; to only account for,止まる,Godan verb with ru ending; intransitive verb
ほどく,to undo; to untie; to unfasten; to unlace,解く,Godan verb with ku ending; Transitive verb
からかう,to ridicule; to tease; to mock; to chaff,揶揄う,Godan verb with u ending
アイデア,idea,,Noun
さようなら,farewell; adieu; goodbye; so long,左様なら,
つける,to turn on; to switch on; to light up,点ける,Ichidan verb; Transitive verb
そっと,softly; gently; quietly; secretly; stealthily; to leave alone; to leave as it is,,Adverb; Suru verb
ぶつける,"to hit (e.g. one's head); to strike; to crash into; to throw (e.g. a ball, a question, a demand); to express; to vent (e.g. one's anger)",打付ける,Ichidan verb; Transitive verb
やけど,burn; scald,火傷,Noun; Suru verb
スケジュール,schedule,,Noun; Suru verb
うっかり,carelessly; thoughtlessly; inadvertently,,Adverb; Adverb taking the 'to' particle; Suru verb
くっつく,to adhere to; to stick to; to cling to; to keep close to; to go along with; to get involved with; to be thick with; to become intimate,くっ付く,Godan verb with ku ending; intransitive verb
あれこれ,this and that; this or that; one thing or another; this way and that; around; about; round about; roughly,彼此,Adverb; Pronoun
ドキドキ,thump-thump; bang-bang; pit-a-pat; pitapat; to beat fast (of one's heart); to throb; to pound; to palpitate,,Adverb; Adverb taking the 'to' particle; Suru verb
プラスチック,plastic,,Noun; No-adjective
しつこい,"insistent; obstinate; persistent; tenacious; too rich (taste, etc.); fatty; heavy; greasy",執拗い,I-adjective
ぶつぶつ,grunt; grumble; complaint; mutter; pimples; spots; eruption; rash; cutting into small pieces; simmering,,Noun; Adverb; Adverb taking the 'to' particle
こっそり,stealthily; secretly,,Adverb; Adverb taking the 'to' particle
しびれる,to become numb; to go to sleep (e.g. a limb); to get an electric shock; to tingle (from an electric shock); to be excited; to be titillated,痺れる,Ichidan verb; intransitive verb
それる,to turn away; to bear off; to veer away; to swerve from; to deviate (e.g. of a conversation); to digress; to to go astray; to wander,逸れる,Ichidan verb; intransitive verb
メニュー,menu; schedule; program; programme; (computer) menu,,Noun
どうせ,anyhow; in any case; at any rate; after all; at best; at most,,Adverb
ニコニコ,with a friendly grin; smilingly,,Adverb; Adverb taking the 'to' particle; Suru verb
レベル,level; standard; amount; degree; level (plane); floor; storey (story); layer; spirit level; (surveyor's) level,,Noun
バック,back; backing; going backwards; reversing; background; background colour (color); backhand; backer; supporter; refunding; backstroke (swimming),,Noun; Suru verb
まあまあ,"so-so; passable; now, now; my, my",,Na-adjective; Adverb
ピストル,pistol,,Noun
クリーニング,cleaning; dry cleaning; laundry service,,Noun; Suru verb
のける,"to put something out of the way; to move (something, someone) aside; to remove; to exclude; to take away; to set aside; to keep apart",退ける,Ichidan verb; Transitive verb; Auxiliary verb
すっきり,refreshingly; with a feeling of relief; pleasantly; (a weight) off one's shoulder; shapely; neatly; refinedly; cleanly; without trouble; clearly; plainly; distinctly,,Adverb; Adverb taking the 'to' particle; Suru verb
ランチ,lunch; (Western-style) single-plate lunch set; plate lunch; lunch set; launch (boat); motorboat; ranch,,Noun
ラッシュアワー,rush hour,,Noun
カーブ,curve; turn; bend; curveball; curve ball; (wine) cellar,,Noun; Suru verb
コック,cook; chef; tap; spigot; faucet; cock; cock (male fowl); cock (penis),,Noun
スチュワーデス,stewardess; (female) flight attendant,,Noun
シーズン,"season (period in which regulated games are played); season (division of the year); season (of a TV show, etc.)",,Noun
もたれる,to lean against; to lean on; to recline on; to lie heavy (on the stomach); to be uneasily digested,凭れる,Ichidan verb; intransitive verb
とっくに,long ago; already; a long time ago,疾っくに,Adverb
ロビー,lobby; lounge,,Noun
くしゃみ,sneeze; spoken twice in response to someone sneezing as a charm against an early death,嚏,Noun; Expression
クーラー,cooler; air conditioner,,Noun
メーター,meter; gauge; metre (i.e. 100 cm); meter; animator,,Noun
モーター,motor,,Noun
ダブル,double; double bed; hotel room with a double bed; double-breasted; double-cuffed; double width (of cloth; usu. 1.42 meters); doubles (e.g. in tennis),,Noun; No-adjective
マイナス,"minus; negative (quantity); subtraction; taking away; deficit; disadvantage; drawback; handicap; negative (ion, pole, growth, image, effect, etc.)",,Noun; Suru verb; No-adjective; Noun or verb acting prenominally
カラー,collar; color; colour; hair colouring (coloring); calla (variety of arum lily),,Noun; Suru verb
トレーニング,training,,Noun; Suru verb
ピカピカ,with a glitter; with a sparkle; brand new; shiny and new,,Adverb taking the 'to' particle; Adverb; No-adjective; Na-adjective; Suru verb
ずるい,sly; cunning; sneaky; crafty; miserly; mean; stingy,狡い,I-adjective
くたびれる,to get tired; to be exhausted; to wear out; to be battered from long use,草臥れる,Ichidan verb; intransitive verb
シャッター,"(camera) shutter; shutter (for a door, window, etc.)",,Noun
パンツ,underpants; pants; briefs; panties; trousers (esp. women's); jodhpurs; breeches; pants,,Noun
ひねる,"to twist; to wrench; to turn (a switch on or off, etc.); to wring (a neck); to puzzle over; to defeat easily",捻る,Godan verb with ru ending; Transitive verb
ベテラン,person with a lot of experience; old hand; veteran (in a particular field),,Noun; No-adjective
モダン,modern,,Na-adjective; Noun
レクリエーション,recreation; re-creation,,Noun
ぎっしり,tightly (packed); densely; closely; crammed,,Adverb; Adverb taking the 'to' particle
おかげさまで,(I'm fine) thank you; thanks to you; fortunately; under the gods' shadow,お陰様で,Expression
くっつける,to attach; to stick together; to paste; to glue; to place together; to put side-by-side; to make someone get married; to get someone hitched,くっ付ける,Ichidan verb
マフラー,muffler; scarf; comforter; muffler (for a vehicle exhaust); silencer,,Noun
プリント,print; copy; handout; flyer,,Noun; Suru verb
そそっかしい,careless; thoughtless; hasty; rash,,I-adjective
ワンピース,dress,,Noun; No-adjective
エチケット,politeness; good manners; courtesy; etiquette,,Noun
オートメーション,automation,,Noun
カセット,cassette (tape); game cartridge,,Noun
めっきり,remarkably; noticeably; considerably; appreciably,,Adverb
うろうろ,restlessly; aimlessly; without purpose; to loiter; to drift; to hang about doing nothing; to wander aimlessly; to be restless; to fuss,,Adverb; Adverb taking the 'to' particle; Suru verb
のろのろ,slowly; sluggishly,,Adverb; Adverb taking the 'to' particle; Suru verb
フワフワ,"lightly (floating, drifting, etc.); buoyantly; soft; fluffy; spongy; unsteadily; flightily; fickly; frivolously",,Adverb taking the 'to' particle; Adverb; No-adjective; Na-adjective; Suru verb
ランニング,running; tank top,,Noun
しゃがむ,to squat; to crouch,,Godan verb with mu ending; intransitive verb
スクール,school,,Noun
ナンバー,number; number plate; license plate,,Noun
ばね,"spring (e.g. coil, leaf); mainspring; power spring",発条,Noun
はじめに,first; firstly; first of all; to begin with; Introduction; Preface,初めに,Expression
コンセント,electrical outlet; wall socket; power plug,,Noun
