みんな,all; everyone; everybody; everything,皆,Adverb; Noun
しばらく,for a moment; for a minute; for a while; for some time; for the time being; for now; it's been a long time; long time no see,暫く,Adverb; Suru verb
しっかり,"tightly (holding on); firmly; securely; strongly (built); solidly; sturdily; steadily; properly; well; sufficiently; hard (working, etc.); reliably",確り,Adverb; Adverb taking the 'to' particle; Suru verb
とうとう,finally; at last; ultimately; in the end,到頭,Adverb
なさる,to do,為さる,Godan verb - aru special class; Transitive verb
すごい,terrible; dreadful; amazing (e.g. of strength); great (e.g. of skills); wonderful; terrific; to a great extent; vast (in numbers); awfully; very; immensely,凄い,I-adjective; Adverb
これから,after this,此れから,Temporal noun
それほど,to that degree; to that extent; that much,それ程,Adverb
たまに,occasionally; once in a while; now and then; rarely,偶に,Adverb
ガス,"gas (state of matter, e.g. poison gas, natural gas); gasoline; gas; petrol; dense fog; thick fog; gas stove; gas cooker; gas range; flatulence; gas; wind; fart",瓦斯,Noun
すり,pickpocket,掏摸,Noun
なるほど,I see; that's right; indeed,なる程,Expression; Adverb
ちっとも,not at all (neg. verb),些とも,Adverb
うつる,to move (house); to transfer (department); to change the target of interest or concern; to elapse (passage of time),移る,Godan verb with ru ending; intransitive verb
なるべく,as much as possible; wherever practicable; if possible,成るべく,Adverb
いじめる,to ill-treat; to bully; to torment; to pick on; to be tough on (e.g. one's body); to treat harshly,苛める,Ichidan verb; Transitive verb
アフリカ,Africa,阿弗利加,Noun; No-adjective
けど,but; however; although,,Conjunction; Particle
テニス,tennis,,Noun
ピアノ,piano,,Noun
コンピュータ,computer,,Noun
ケーキ,cake,,Noun
ビル,multi-floor building; multi-storey building; bill,,Noun
カーテン,curtain; curtains,,Noun
ガソリン,gasoline; petrol,,Noun
アルコール,alcohol,,Noun; No-adjective
サンドイッチ,sandwich,,Noun
オートバイ,motorcycle,,Noun
サラダ,salad,,Noun
ソフト,soft; software; soft hat; felt hat; soft serve ice cream; softball,,Na-adjective; No-adjective; Noun
テキスト,text; textbook,,Noun
ガソリンスタンド,gas station; petrol station,,Noun
ジャム,jam,,Noun
ステレオ,stereo,,Noun
アナウンサー,announcer; presenter; broadcaster; reporter; in-house television talent who does on-location fluff pieces for variety shows,,Noun
パート,part; part-timer; part-time (work),,Noun
アクセサリー,accessory,,Noun
エスカレーター,escalator,,Noun
あっ,ah; oh; hey!,,
スーツケース,suitcase,,Noun
ステーキ,steak,,Noun
チェック,check; plaid; checkered; checking; monitoring; looking over; scrutinizing; check (banking); cheque; bill (restaurant); check (chess),,Noun; No-adjective; Suru verb
サンダル,sandal,,Noun
スクリーン,screen,,Noun
レジ,(cash) register; cashier; Rezh (Russia); Reg,,Noun; Place
わけ,"conclusion from reasoning, judgement or calculation based on something read or heard; reason; cause; meaning",訳,Noun
おかげ,grace (of God); benevolence (of Buddha); blessing; assistance; help; aid; effects; influence,お蔭,Noun
もうすぐ,soon; shortly; before long; nearly,もう直ぐ,Expression; Adverb
そう,so; really; seeming; appearing that; seeming that; looking like; having the appearance of,,Adverb; Na-adjective; Suffix
そんな,"such (about the actions of the listener, or about ideas expressed or understood by the listener); like that; that sort of; no way!; never!",,Pre-noun adjectival
もし,if; in case; supposing,若し,Adverb
やめる,to stop (an activity); to cease; to discontinue; to end; to cancel; to abandon; to give up; to abolish,止める,Ichidan verb; Transitive verb
だから,so; therefore,,Conjunction
はっきり,clearly; plainly; distinctly; to be clear; to be definite; to be certain; to be exact,,Adverb; Adverb taking the 'to' particle; Suru verb
すっかり,all; completely; totally; entirely,,Adverb; Adverb taking the 'to' particle
コンサート,concert,,Noun
やっと,at last; at length; barely; narrowly; just; by the skin of one's teeth,,Adverb
あんな,"such (about something or someone distant from both speaker and listener, or about a situation unfamiliar to both speaker and listener); so; that",,Pre-noun adjectival
プレゼント,present; gift; to give a present or gift,,Noun; Suru verb
タイプ,type; kind; sort; style; type (of person); (ideal) type; one's type; typewriter; typing,,Noun; Suru verb
レポート,report; paper; reportage,,Noun; Suru verb
そろそろ,slowly; quietly; steadily; gradually; soon; momentarily; before long; any time now,,Adverb; Adverb taking the 'to' particle
ベル,bell; bel; B,,Noun
いらっしゃる,to come; to go; to be (somewhere); to be (doing),,Godan verb - aru special class; intransitive verb; Auxiliary verb
それで,and; thereupon; because of that,其れで,Conjunction
どんどん,drumming (noise); beating; pounding; banging; rapidly; quickly; steadily; continuously; one after the other; in succession,,Adverb; Adverb taking the 'to' particle
スーツ,suit (clothing); suit (playing cards),,Noun
ちゃん,suffix for familiar person,,Suffix
ワープロ,word processor,,Noun
パソコン,personal computer,,Noun; No-adjective
アルバイト,part-time job; side job; part-time worker; albite,,Noun; Suru verb
ハンドバッグ,handbag; purse,,Noun
すると,thereupon; hereupon,,Conjunction
さっき,some time ago; just now,,Adverbial noun; Noun
それに,besides; in addition; also; moreover,其れに,Conjunction
すっと,straight; quickly; directly; all of a sudden; quietly; gently; softly; to feel refreshed; to feel satisfied,,Adverb; Suru verb
そんなに,so much; so; like that,,Expression
おっしゃる,to say; to speak; to tell; to talk,仰る,Godan verb - aru special class; Transitive verb
うん,yes; yeah; uh huh; hum; hmmm; well; erm; oof,,
ああ,like that (used for something or someone distant from both speaker and listener); so,,Adverb
こう,in this way; thus; such; uh...,斯う,Adverb
