ほど,degree; extent; bounds; limit; upper limit,程,Adverbial noun; Noun; Particle
まるで,quite; entirely; completely; at all; as if; as though; just like,丸で,Adverb
どうしても,by all means; at any cost; no matter what; at any rate; whether (one is) willing or not; willingly or unwillingly; willy-nilly; on no account,如何しても,Expression; Adverb
しゃべる,to talk; to chat; to chatter,喋る,Godan verb with ru ending; intransitive verb
むしろ,rather; better; instead,寧ろ,Adverb
いつでも,(at) any time; always; at all times; whenever,何時でも,Adverb
けが,injury (to animate object); hurt,怪我,Noun; Suru verb
ますます,increasingly; more and more; decreasingly (when declining); less and less,益々,Adverb
すみません,excuse me; pardon me; I'm sorry; thank you,済みません,Expression
きれる,to break; to snap; to be cut; to split; to be injured; to wear out; to be worn out; to break; to burst; to collapse; to wear off; to stop working; to go dead,切れる,Ichidan verb; intransitive verb; Auxiliary verb
ある,a certain ...; some ...,或,Pre-noun adjectival
なかなか,very; considerably; easily; readily; by no means; not readily; middle; half-way point; excellent; wonderful; very good,中々,Adverb; Na-adjective; Noun; No-adjective
わずか,only; merely; (a) little; small quantity,僅か,Na-adjective; Adverb; Noun
まさに,exactly; surely; certainly; just; right then; just then; at that moment; just (about to); on the verge (of doing or happening); duly; naturally,正に,Adverb
もちろん,of course; certainly; naturally,勿論,Adverb
つかむ,to seize; to catch; to grasp; to grip; to obtain; to acquire; to get; to win,掴む,Godan verb with mu ending; Transitive verb
ずいぶん,very; extremely; surprisingly; considerably; terrible; horrid; contemptible; reprehensible; remarkable; extraordinary,随分,Adverb; Adverb taking the 'to' particle; Na-adjective
たまたま,occasionally; once in a while; seldom; casually; unexpectedly; accidentally; by chance,偶々,Adverb
おしゃべり,chattering; talk; idle talk; chat; chatty; talkative; chatterbox; blabbermouth,お喋り,Noun; Suru verb; Na-adjective
じっと,"motionlessly (e.g. stand, wait); (be) still; fixedly (e.g. gaze, stare); intently (e.g. listen, think); patiently (endure); stoically; firmly (e.g. hold)",凝乎と,Adverb; Suru verb
いわゆる,what is called; as it is called; the so-called; so to speak,所謂,Pre-noun adjectival
やがて,before long; soon; almost; nearly; finally; in the end; eventually,軈て,Adverb
かかる,to contract (a disease); to suffer from,罹る,Godan verb with ru ending; intransitive verb
つまり,that is to say; that is; in other words; I mean; in short; in brief; to sum up; ultimately,詰まり,Adverb; Noun
しかる,to scold; to chide; to rebuke; to reprimand,叱る,Godan verb with ru ending; Transitive verb
とにかく,anyhow; at any rate; anyway; somehow or other,兎に角,Adverb
いらいら,to get irritated; to get annoyed; to be on the edge; to fret,苛々,Suru verb; Noun; Adverb; Adverb taking the 'to' particle
つかまる,to be caught; to be arrested; to hold on to; to grasp; to find (e.g. proof); to get (e.g. a taxi); to be detained by,捕まる,Godan verb with ru ending; intransitive verb
いとこ,cousin (male),従兄弟,Noun
せいぜい,at the most; at best; to the utmost; as much (far) as possible,精々,Adverb
そのまま,without change; as it is; as it was; just like; extremely similar; immediately; just after; without a pause,其の儘,Adverb; No-adjective; Noun
ひく,to run over (with a vehicle); to knock down,轢く,Godan verb with ku ending; Transitive verb
つなぐ,to connect; to link together; to tie; to fasten; to restrain; to maintain; to preserve; to keep; to transfer (phone call); to put a person through; to hedge,繋ぐ,Godan verb with gu ending; Transitive verb
いたずら,"mischief; prank; trick; practical joke; pastime; hobby; playing with (a lighter, etc.); fooling around with; messing around with; amusing oneself with",悪戯,Noun; Suru verb; Na-adjective; No-adjective
たまらない,intolerable; unbearable; unendurable; irresistible; tremendous; out of this world; cannot help (doing); cannot but do; anxious to do,堪らない,Expression; I-adjective
あいにく,"unfortunately; Sorry, but ...",生憎,Na-adjective; Adverb; Noun; No-adjective
わざと,on purpose,態と,Adverb
じかに,directly; in person; firsthand,直に,Adverb
もしも,if; in case; supposing,若しも,Adverb
よす,to cease; to desist; to cut it out; to lay off (an activity),止す,Godan verb with su ending; Transitive verb
ふと,suddenly; casually; accidentally; incidentally,不図,Adverb
ことわざ,proverb; saying; aphorism; maxim,諺,Noun
すなわち,that is; namely; i.e.,即ち,Adverb; Conjunction
そのうち,before very long; soon; someday; one of these days; of the previously mentioned; of that number; among them; among others,その内,Expression; Adverb
わがまま,selfish; egoist; self-indulgent; wilful; willful,我が儘,Na-adjective; Noun
ちょうだい,receiving; reception; getting; being given; eating; drinking; having; please; please do for me,頂戴,Noun; Suru verb; Expression
とんでもない,unthinkable; unexpected; outrageous; offensive; absolutely not!; not at all!; far from it!; impossible!,とんでも無い,I-adjective; Expression
まさか,"by no means; never!; well, I never!; you don't say!; something unexpected; emergency; currently; for the time being; presently; for now; indeed",真逆,; Noun; No-adjective; Adverb
あるいは,or; either ... or; maybe; perhaps; possibly; sometimes; some,或いは,Conjunction; Adverb
やや,a little; partially; somewhat; slightly,稍,Adverb; Noun or verb acting prenominally
これら,these,これ等,Pronoun
うまい,skillful; skilful; clever; expert; delicious; appetizing; appetising; tasty; fortunate; splendid; promising,上手い,I-adjective
キロ,kilo-; 1000; kilogram; kilogramme; kilometre; kilometer; kilo-; 1024; 2^10,,Prefix; Noun
コピー,copy; photocopy; blurb on a book jacket; catch copy,,Noun; Suru verb
だって,after all; because; but; even; too; as well; also; they say; I hear; you mean,,Conjunction; Particle
コンピュータ,computer,,Noun
ビール,beer; Biel (Switzerland); Bir (India); Beal; Beale,,Noun; Place
メンバー,member; participant; attendee; lineup (sport); Memba,,Noun; Place
ドラマ,drama; TV drama; teledrama; play; Dhrama (Greece),,Noun; Place
する,to do; to carry out; to perform; to cause to become; to make (into); to turn (into); to serve as; to act as; to work as,為る,Suru verb - irregular; intransitive verb; Transitive verb; Suffix; Auxiliary verb
オーバー,overcoat; exceeding; going over; going beyond; exaggerated; over the top; overdrawn; overreaction; over par; overexposure; Oba (Canada),,Noun; Suru verb; Noun or verb acting prenominally; Na-adjective; Place
チーム,team,,Noun
ドレス,dress,,Noun
スキー,skiing; ski; skis,,Noun
ボール,"ball; ball (pitch that falls outside of the strike zone); bowl; board (cardboard, pasteboard, etc.)",,Noun
ピクニック,picnic,,Noun
ゲーム,game,,Noun
ワイン,wine,,Noun
スープ,(Western) soup,,Noun
ボート,boat; rowing boat,,Noun
クリスマス,Christmas,,Noun
グループ,group (usu. of people),,Noun
エンジン,engine,,Noun
まあ,"just (e.g. ""just wait here""); come now; now, now; tolerably; passably; moderately; reasonably; well...; I think...; it would seem...",,Adverb
ダンス,dance,,Noun; Suru verb
ソファ,sofa; couch,,Noun
サービス,service; help; assistance; care; discount; freebie; free gift; service; utility; amenity; resource; (after-sales) service; servicing; (product) maintenance,,Noun; Suru verb
ベンチ,bench,,Noun
バイオリン,violin,,Noun
チャンス,chance; opportunity,,Noun
デート,date (with someone); date (day),,Noun; Suru verb
トランプ,(Western) playing cards,,Noun
ユーモア,humor; humour,,Noun
チーズ,cheese; tee (piping); T-joint; cheese (expression used when taking a photograph),,Noun
インク,ink,,Noun; No-adjective
パスポート,passport,,Noun
ドライブ,"drive; trip by car; driving; to (go for a) drive; to go on a trip by car; to drive (e.g. a car); to drive (innovation, change, etc.); to propel; drive",,Noun; Suru verb; intransitive verb; Transitive verb
スケート,skating (esp. ice); skate; skates,,Noun; Suru verb
ノック,knock; knocking; fungo hitting; hitting balls for fielding practice,,Noun; Suru verb
パーセント,percent; percentage,,Noun
トンネル,tunnel; to tunnel (through a potential barrier); letting a grounder go through one's legs,,Noun; Suru verb
キャンプ,camp,,Noun; Suru verb
ハイキング,hiking,,Noun
ヨット,yacht (esp. a sailing boat with one mast); sailing boat; sailboat,,Noun
パイロット,pilot,,Noun
スタイル,figure; body build; style,,Noun
アルバム,album,,Noun
ラケット,racket; paddle (in table-tennis),,Noun
タイプライター,typewriter,,Noun
タオル,towel,,Noun
ウイスキー,whisky; whiskey,,Noun
アイスクリーム,ice cream; icecream,,Noun
ロケット,rocket; locket,,Noun
テント,tent,,Noun
パイプ,"pipe; tube; channels, official or otherwise; (business) connections; tobacco pipe",,Noun
ブレーキ,brake,,Noun
コーチ,coach,,Noun; Suru verb
ベルト,"belt (waist, seat, etc.); strap; belt; zone; area; drive belt; machine belt",,Noun
ケース,"case (e.g. receptacle, condition, event, legal action, letter style, etc.); Computer-Aided Software Engineering; CASE",,Noun
ライター,lighter; writer,,Noun
ジュース,"juice; soft drink (any (sweet) non-alcoholic beverage, carbonated or uncarbonated); deuce",,Noun
アイロン,iron (for pressing clothes); hair iron; hair tong; curling tong,,Noun
アウト,"out (in baseball, tennis, etc.); outer; external; outside; no good; out of line; unacceptable; failure",,Noun; Noun or verb acting prenominally; Expression
スタンド,stands; bleachers; stand (e.g. newspaper stand); counter (e.g. lunch counter); stand (e.g. inkstand); desk lamp; floor lamp; standard lamp,,Noun
プラス,plus; addition; positive number; gain; advantage; asset; positive feature; anode; plus terminal; positive pole; + shape,,Noun; Suru verb; No-adjective
オフィス,office,,Noun
キャプテン,captain,,Noun
ジーンズ,jeans,,Noun
マスター,"to master (a skill); proprietor; manager; owner; barkeeper; leader; chief; head; master (of arts, science, etc.); master (recording); master (device)",,Suru verb; Noun
パス,"passing (a test, examination, etc.); pass (for admission, transport, etc.); ticket; pass (of a ball); (giving something a) pass; skipping (one's turn)",,Noun; Suru verb
カー,car,,Noun
グランド,"large; gland; ground (e.g. land, electrical, base material of textiles, etc.)",,No-adjective; Noun
ひとり,one person; being alone; being by oneself; being single; being unmarried; by oneself; alone; just; only; simply,一人,Noun; Adverb
いいえ,no; nay; well; er; why; you're welcome; not at all; don't mention it,否,
ここ,"here (place physically close to the speaker, place pointed by the speaker while explaining); this place",此処,Pronoun
まだ,still; as yet; hitherto; only; not yet; more; besides; unfinished; incomplete; not yet finished with,未だ,Adverb; Na-adjective
そして,and; and then; thus; and now,然して,Conjunction
ゆっくり,slowly; at ease; restful,,Adverb; Noun; Suru verb; Adverb taking the 'to' particle
では,then; well; so; well then,,Conjunction
そう,so; really; seeming; appearing that; seeming that; looking like; having the appearance of,,Adverb; Na-adjective; Suffix
だから,so; therefore,,Conjunction
レポート,report; paper; reportage,,Noun; Suru verb
すると,thereupon; hereupon,,Conjunction
ゴール,goal; basket (basketball); finishing line; winning post; Gaul; Gol; Gall; Gaul; Gohl,,Noun; Suru verb; Place
セット,set; set meal; combo-meal; combo; combination meal; hairdo; Sete,,Noun; Suru verb; Place
センター,centre; center; Senta,,Noun; Place
マーケット,market; Marquette; Marquat,,Noun; Place
バン,bun; van (caravan); bang; ban (esp. of a player from an online game); Van (Turkey); Bang; Wend,,Noun; Suru verb; Place
なんでも,any; anything; whatever; whatever one likes; I am told; I hear; I understand; they say,何でも,Expression; Adverb
できるだけ,as much as one can; as much as possible; if at all possible,出来るだけ,Expression; Adverb; No-adjective
なんとか,something; something or other; so-and-so; somehow; anyhow; one way or another,何とか,Expression; Adverb; Suru verb
いつか,sometime; someday; one day; some time or other,何時か,Adverb
はあ,yes; indeed; well; ha!; what?; huh?; sigh,,
かもしれない,may; might; perhaps; may be,かも知れない,Expression
ずっと,"continuously in some state (for a long time, distance); throughout; all along; the whole time; much (better, etc.); by far; far and away; far away",,Adverb
どんな,"what; what kind of; (with -temo, demo, etc.) any(body, thing, means, etc.)",,Pre-noun adjectival
どんなに,how; how much,,Adverb
どこか,somewhere; anywhere; in some respects,何処か,Expression; Noun; Adverb
ぶつ,to hit (a person); to strike; to beat; to deliver (a speech); to give (an address),打つ,Godan verb with tsu ending; Transitive verb
そこで,so; accordingly; now; then,其処で,Conjunction
ありがとう,thank you; thanks,有り難う,
ミルク,milk,,Noun
こんなに,so; like this; in this way,,Adverb
それぞれ,each; respectively,夫れ夫れ,Adverbial noun; No-adjective
トラック,"truck; lorry; track (running, CD, etc.); track events",,Noun
それとも,or; or else,其れ共,Conjunction
がっかり,feel disappointed; dejected; lose heart; feel emotionally drained,,Adverb; Noun; Suru verb; Adverb taking the 'to' particle
あちこち,here and there; all around; everywhere; throughout; to get things in the wrong order (back to front); to become muddled up,彼方此方,Adverb; Pronoun; Suru verb
きちんと,properly; accurately; exactly; precisely; neatly; tidily; orderly,,Adverb; Suru verb
スピーチ,speech,,Noun
せい,consequence; outcome; result; blame,所為,Noun
ですから,so; therefore,,Conjunction
バッグ,bag,,Noun
それでも,but (still); and yet; nevertheless; even so,其れでも,Conjunction
ちゃんと,diligently; seriously; earnestly; reliably; perfectly; properly; exactly; orderly; sufficiently; satisfactorily; quickly,,Adverb; Suru verb
ペンキ,paint,,Noun
たった,only; merely; but; no more than,,Noun or verb acting prenominally; Adverb
きつい,"tough; hard; severe; demanding; determined; strong-minded; forceful; formidable; strong (e.g. sunlight, alcohol); severe; intense; (too) tight; constricting",,I-adjective
ぐっすり,soundly (sleeping); fast (asleep),,Adverb; Adverb taking the 'to' particle
ぴったり,tightly; closely; exactly; precisely; suddenly (stopping); perfectly (suited); ideally,,Adverb; Adverb taking the 'to' particle; Suru verb; Na-adjective
サイン,autograph; signature; sign; signal; indication; sine,,Noun; Suru verb
カード,card; curd; match; game; grouping in a competition or tournament,,Noun
なぜなら,because; the reason is; if you want to know why,何故なら,Conjunction
ごみ,rubbish; trash; garbage; refuse,塵,Noun
さっぱり,feeling refreshed; feeling relieved; neat; tidy; clean; frank; open-hearted; plain; simple; completely; entirely; not in the least (with neg. verb); not at all,,Adverb; Adverb taking the 'to' particle; Suru verb; Na-adjective
ミス,mistake; error; failure; Miss; myth,,Noun; Suru verb
しかも,moreover; furthermore; nevertheless; and yet,然も,Conjunction
グラス,glass (drinking vessel); glass; glasses; grass,,Noun
つぐ,"to pour (into a vessel); to fill (a cup, bowl, etc.) with; to dish out (food or drink)",注ぐ,Godan verb with gu ending; Transitive verb
おめでとう,congratulations!; an auspicious occasion!,お目出度う,
さて,well; now; then,偖,Conjunction
いずれ,where; which; who; anyway; anyhow; at any rate; sooner or later; eventually; one of these days; at some future date or time; both; either; any; all,何れ,Adverb; Pronoun
ハンサム,handsome,,Na-adjective
メモ,memo; note; memorandum,,Noun; Suru verb
ざっと,roughly; approximately; round about; more or less; cursorily; briefly; quickly; lightly,,Adverb
スイッチ,switch,,Noun; Suru verb
たっぷり,full; in plenty; ample,,Adverb; Adverb taking the 'to' particle; Noun; No-adjective; Na-adjective
ダイヤ,diamond; (railway) schedule; timetable; diagram,,Noun
ぼんやり,dimly; faintly; indistinctly; vaguely; absentmindedly; vacantly; carelessly; idly; aimlessly; absence of mind; fool; blockhead; dunce,,Adverb; Adverb taking the 'to' particle; Suru verb; Noun
プラン,plan; scheme; (payment) plan; package; deal; offer,,Noun
こんにちは,hello; good day; good afternoon,今日は,
プロ,professional,,Noun; No-adjective
のんびり,carefree; at leisure,,Adverb; Adverb taking the 'to' particle; Suru verb
デモ,demonstration; protest; (giving a) demo; demonstration; presentation,,Noun
ビデオ,video,,Noun
トップ,top; top position; senior management; senior bureaucrat,,Noun
はさみ,scissors; shears; clippers; hole punch,鋏,Noun
ホーム,platform; home; home base; home plate,,Noun
クリーム,cream,,Noun
スター,"star (cinema, sports, etc.); celebrity; idol; star symbol; asterisk; (celestial) star",,Noun
ピン,"pin (e.g. hairpin, bowling pin, golf pin, etc.); one (on dice, in cards, etc.); beginning; best; kickback",,Noun
ボーイ,boy; bellboy; porter; waiter,,Noun
クラシック,classical music; classic; classical; classic (work); the classics,,Noun; Na-adjective
トン,"ton (now usu. a metric ton, i.e. 1,000kg); tonne",屯,Noun
マイク,mike; mic; microphone,,Noun
ところが,even so; however; still; whereupon,所が,Conjunction
コード,code; cord; chord,,Noun
そっくり,all; altogether; entirely; completely; exactly like; just like; spitting image of,,Adverb; Na-adjective
いらっしゃい,come; go; stay; welcome,,
にっこり,sweetly (smiling); broadly (grinning),,Adverb; Adverb taking the 'to' particle; Suru verb
だけど,however,,Conjunction
だが,but; however; (and) yet; nevertheless,,Conjunction
ノー,no; no; without; not needed; not allowed,,; Noun - used as a prefix
つらい,painful; bitter; heart-breaking; difficult (emotionally); tough; difficult; hard (usu. of situations); cruel; harsh; cold,辛い,I-adjective
もっとも,but then; although; though; reasonable; natural; just,尤も,Conjunction; Na-adjective; Noun
