さいわい,happiness; blessedness; luck; fortune; luckily; fortunately,幸い,Na-adjective; Noun; Adverb
なやむ,to be worried; to be troubled,悩む,Godan verb with mu ending
かなしむ,to be sad; to mourn for; to regret,悲しむ,Godan verb with mu ending; Transitive verb
おせん,pollution; contamination,汚染,Noun; Suru verb
てきせつ,pertinent; appropriate; adequate; relevance,適切,Na-adjective; Noun
さくもつ,produce (e.g. agricultural); crops,作物,Noun
じき,time; season; period; phase,時期,Noun
しゅよう,chief; main; principal; major,主要,Na-adjective; Noun
しゅうい,surroundings; environs; circumference,周囲,Noun; No-adjective
きゅうけい,rest; break; recess; intermission,休憩,Noun; Suru verb
とうあん,examination paper; examination script; answer sheet; answer (to an exam question),答案,Noun
しはい,domination; rule; control; direction; management; guidance; control (e.g. over one's emotions); determining (e.g. one's fate); governing; influence,支配,Noun; Suru verb
するどい,sharp (blade); pointed; sharp (pain); stabbing; cutting (remark); stinging; perceptive; keen; quick (mind); astute,鋭い,I-adjective
ちゅうもく,notice; attention; observation,注目,Noun; Suru verb
かくご,resolution; resignation; readiness; preparedness,覚悟,Noun; Suru verb
いわう,to celebrate; to congratulate; to observe (a festival); to present (a gift) in celebration; to drink in celebration,祝う,Godan verb with u ending; Transitive verb
かんさつ,observation; survey; watching,観察,Noun; Suru verb
ふり,disadvantage; handicap; unfavorable position,不利,Noun; Na-adjective
しまい,sisters,姉妹,Noun
だいひょう,representative; representation; delegation; type; switchboard number; main number,代表,Noun; Suru verb; No-adjective
そそぐ,to pour (into); to sprinkle on (from above); to water (e.g. plants); to pour onto; to spray; to shed (tears),注ぐ,Godan verb with gu ending; Transitive verb; intransitive verb
きらう,to hate; to dislike; to loathe,嫌う,Godan verb with u ending; Transitive verb
おくる,to give (as a gift); to present; to confer; to bestow; to award,贈る,Godan verb with ru ending; Transitive verb
かえる,to replace; to exchange; to interchange; to substitute,換える,Ichidan verb; Transitive verb
ぎもん,doubt; question; suspicion; dubiousness,疑問,Noun
ためす,to attempt; to test; to try out,試す,Godan verb with su ending; Transitive verb
じゅんちょう,favourable; favorable; doing well; OK,順調,Na-adjective; Noun
ゆうしゅう,superiority; excellence,優秀,Na-adjective; Noun
こんざつ,congestion; crush; crowding; jam; confusion; disorder,混雑,Noun; Suru verb
はいたつ,delivery,配達,Noun; Suru verb
こづつみ,parcel; package,小包,Noun
しゅうしょく,finding employment; getting a job,就職,Noun; Suru verb
ぐん,army; force; troops,軍,Noun; Noun - used as a suffix
ぶんや,field; sphere; realm; division,分野,Noun
みごと,splendid; magnificent; excellent; fine; utter (esp. defeat); total; complete; something worth seeing; sight; spectacle,見事,Na-adjective; Adverb; Noun
いっか,a family; a household; a home; one's family; (one's own) style; school; gang; (yakuza) family,一家,Noun
えいきゅう,eternity; permanence; perpetuity; Eikyū era (1113.7.13-1118.4.3),永久,Noun; Na-adjective; No-adjective
けいき,business conditions; the market; economic activity; economic climate; good (economic) times; prosperity; boom; liveliness; energy; vigour; vigor,景気,Noun
こんらん,disorder; chaos; confusion; mayhem,混乱,Noun; Suru verb
たしょう,more or less; somewhat; a little; a few; amount; quantity,多少,Adverb; No-adjective; Noun
たま,"ball; sphere; globe; orb; bead (of sweat, dew, etc.); drop; droplet; ball (in sports); pile (of noodles, etc.); bullet; bulb (i.e. a light bulb)",玉,Noun; Noun - used as a suffix
しょもつ,book; volume,書物,Noun
しゅぎ,doctrine; rule; principle; -ism,主義,Noun
こっかい,National Diet; legislative assembly of Japan (1947-); Imperial Diet; legislative assembly of Japan (1889-1947); legislative assembly; parliament; congress,国会,Noun
しんゆう,"close friend; bosom (old, intimate) friend; buddy; crony",親友,Noun
はずす,to remove; to take off; to detach; to unfasten; to drop (e.g. from a team); to remove (from a position); to exclude; to expel,外す,Godan verb with su ending; Transitive verb
いふく,clothes,衣服,Noun
きにゅう,"entry (in a form, register, diary, etc.); filling in; filling out",記入,Noun; Suru verb
こうえん,lecture; address; speech,講演,Noun; Suru verb
なっとく,consent; assent; agreement; understanding; comprehension; grasp,納得,Noun; Suru verb
じこく,instant; time; moment,時刻,Adverbial noun; Temporal noun
てきよう,applying (e.g. a technology); adoption,適用,Noun; Suru verb
ごうけい,sum total; total amount,合計,Noun; Suru verb
おもいで,memories; recollections; reminiscence,思い出,Noun
しょうち,knowledge; awareness; consent; acceptance; assent; admitting; forgiving; pardoning; excusing,承知,Noun; Suru verb
しょくたく,dining table,食卓,Noun; No-adjective
ようそ,component; factor; item (e.g. in list); element (e.g. in array); member (e.g. data structure),要素,Noun
しんちょう,height (of body); stature,身長,Noun
せいげん,restriction; restraint; limitation; limit,制限,Noun; Suru verb
そんちょう,respect; esteem; regard,尊重,Noun; Suru verb
もどす,"to put back; to return; to give back; to restore (to a previous state, e.g. defrosting, reconstituting, reconciling)",戻す,Godan verb with su ending; Transitive verb
しつ,quality; value; nature; inherent quality; character; logical quality,質,Noun; Noun - used as a suffix
ぬの,cloth; bujian (spade-shaped bronze coin of ancient China),布,Noun
かんり,control; management (e.g. of a business),管理,Noun; Suru verb
いじ,maintenance; preservation; improvement,維持,Noun; Suru verb
こくふく,"conquest (of a difficulty, illness, handicap, etc.); overcoming; bringing under control; subjugation",克服,Noun; Suru verb
ろんそう,dispute; controversy,論争,Noun; Suru verb
しょうがい,obstacle; impediment; hindrance; difficulty; handicap; impairment; disability; disorder,障害,Noun; Suru verb
わかれ,parting; separation; farewell; (lateral) branch,別れ,Noun
くつう,pain; agony; bitterness,苦痛,Na-adjective; Noun; No-adjective
おだやか,calm; gentle; quiet,穏やか,Na-adjective; Noun
かんしん,admiration; being impressed; admirable; praiseworthy; astonishment; being appalled,感心,Noun; Suru verb; Na-adjective
こうか,"effect; effectiveness; efficacy; result; effects (e.g. sound effects, visual effects, special effects)",効果,Noun; No-adjective
はだ,skin; body (in the context of intimate bodily contact); surface; grain (e.g. of wood); texture; disposition; temperament; character; type,肌,Noun; Noun - used as a suffix
はんい,extent; scope; sphere; range,範囲,Noun
かわ,skin; hide; pelt; fur; rind; peel; husk; bark; shell; sheath; wrapping; mask (hiding one's true nature); seeming,皮,Noun
いどう,movement; transfer; migration; removal; mobile; moving; traveling; travelling,移動,Noun; Suru verb; Noun or verb acting prenominally
わき,armpit; under one's arm; side; flank; beside; close to; near; by; aside; to the side; away; out of the way; off-track; off-topic; deuteragonist; supporting role,脇,Noun
しょうにん,recognition; acknowledgement; acknowledgment; approval,承認,Noun; Suru verb
めいかく,clear; precise; definite; distinct,明確,Na-adjective
かもく,(school) subject; curriculum; course,科目,Noun
ねんだい,age; era; period; date,年代,Noun
ためし,trial; test,試し,Noun
じゅんばん,turn (in line); order of things; sequential order,順番,Noun
きんちょう,tension; mental strain; nervousness,緊張,Noun; Suru verb
きんせん,money; cash,金銭,Noun; No-adjective
ようするに,in short; in a word; to sum up; to put it simply,要するに,Expression; Adverb
けいゆ,going through; going via; going by way of,経由,Noun; Suru verb
ようき,cheerful; jovial; merry; lively; weather; season; spirit of yang,陽気,Na-adjective; Noun
ちょしゃ,author (usu. of a particular book); writer,著者,Noun
そこ,bottom; sole,底,Noun
きおん,air temperature,気温,Noun
きしゃ,reporter; journalist,記者,Noun
きかん,period; term; interval,期間,Noun
きょだい,huge; gigantic; enormous,巨大,Na-adjective; Noun
のき,eaves; narrow aisle surrounding the core of a temple building,軒,Noun
きょうつう,common; shared; mutual; to be common (to); to be shared (by); -wide,共通,No-adjective; Na-adjective; Noun; Suru verb; Noun - used as a suffix
どくとく,peculiarity; uniqueness; characteristic; understood only by oneself,独特,Noun; No-adjective; Na-adjective
ひっぱる,to pull; to draw; to pull tight; to string (lines); to run (cable); to stretch; to pull towards oneself (e.g. someone's sleeve); to drag; to haul; to tow,引っ張る,Godan verb with ru ending; Transitive verb
ふうけい,scenery; scene; landscape; view; scene (e.g. of a crime),風景,Noun; No-adjective
ほぞん,preservation; conservation; storage; maintenance; saving (e.g. to disk),保存,Noun; Suru verb
だいきん,price; cost; charge; payment,代金,Noun
そん,loss; damage; harm; unprofitable; disadvantage; handicap; drawback; unfavorable,損,Noun; Na-adjective
みまい,visiting ill or distressed people; writing get-well letters; get-well gifts; get-well letters; expression of sympathy; expression of concern; enquiry,見舞い,Noun; Suru verb
かいし,start; commencement; beginning; initiation,開始,Noun; Suru verb
かんれん,relation; connection; relevance,関連,Noun; No-adjective; Suru verb; Suffix
いし,intention; wish; purpose; mind (to do),意思,Noun
いっぱん,general; universal; ordinary; average; common; non-celebrity; the same; no different; (just) as if,一般,No-adjective; Na-adjective; Noun
やちん,rent,家賃,Noun
にっこう,sunlight; sunshine; sunbeams,日光,Noun
どうりょう,coworker; co-worker; colleague; associate,同僚,Noun
はったつ,development; growth,発達,Noun; Suru verb
ひょうめん,surface; face; outside; exterior; appearances; superficiality,表面,Noun; No-adjective
いんたい,retirement,引退,Noun; Suru verb
ぎし,engineer; technician,技師,Noun
こむぎ,wheat,小麦,Noun
げつよう,Monday,月曜,Adverbial noun; Temporal noun
こうしゃ,the latter,後者,Noun; No-adjective
つきあい,association; socializing; socialising; fellowship,付き合い,Noun
おもわず,unconsciously; involuntarily; instinctively; reflexively,思わず,Adverb
つうか,"passing through (a tunnel, station, town, etc.); passing by (e.g. of a typhoon); transit; passage (of a bill, e.g. through parliament); carriage",通過,Noun; Suru verb
しょくりょう,food (esp. staple food such as rice or wheat); provisions; rations; food supply,食糧,Noun
およぎ,swimming,泳ぎ,Noun
せいきゅう,claim; demand; charge; application,請求,Noun; Suru verb
おんだん,warm; mild; temperate,温暖,Na-adjective; Noun
だんし,youth; young man,男子,Noun
さ,difference; variation; difference,差,Noun; Noun - used as a suffix
じゅうみん,inhabitant; resident; citizen; population,住民,Noun
きゅう,nine,九,Numeric
まっか,bright red; deep red; flushed (of face); downright (e.g. lie); complete; utter,真っ赤,Na-adjective; Noun
じょし,woman; girl,女子,Noun; No-adjective
きゅうじょ,relief; aid; rescue,救助,Noun; Suru verb
じょうきょう,proceeding to the capital (Tokyo),上京,Noun; Suru verb
ぜんしん,advance; moving forward; progress,前進,Noun; Suru verb
てつや,staying up all night,徹夜,Noun; Suru verb; No-adjective
おうじ,prince; subordinate Kumano shrine,王子,Noun
けんかい,opinion; point of view,見解,Noun
たんに,simply; merely; only; solely,単に,Adverb
よそく,prediction; estimation,予測,Noun; Suru verb
けしょう,make-up; makeup; cosmetics,化粧,Noun; Suru verb
がくもん,scholarship; study; learning; discipline; branch of learning; (a) science,学問,Noun; Suru verb
ひじょう,emergency; extraordinary; unusual,非常,Noun; Na-adjective; No-adjective
したく,preparation; arrangements,支度,Noun; Suru verb
せっきょくてき,positive; assertive; active; proactive,積極的,Na-adjective
きのう,function; facility; faculty; feature,機能,Noun; Suru verb
てきど,moderate (degree); proper (amount); temperate; suitable,適度,Na-adjective; No-adjective; Noun
むしば,cavity; tooth decay; decayed tooth; dental caries,虫歯,Noun
いんしょう,impression,印象,Noun; Suru verb
えがお,smiling face; smile,笑顔,Noun; Suru verb
ながす,"to drain; to pour; to spill; to shed (blood, tears); to wash away; to distribute (e.g. electricity over wires, music over a PA system, etc.); to circulate",流す,Godan verb with su ending; Transitive verb
ぼう,pole; rod; stick,棒,Noun
たんなる,mere; simple; sheer,単なる,Pre-noun adjectival
ていこう,resistance; opposition; standing up to; reluctance; repulsion; repugnance; resistance; drag; friction; electrical resistance; resistor,抵抗,Noun; Suru verb
はさん,bankruptcy; insolvency,破産,Noun; Suru verb
つかれ,tiredness; fatigue,疲れ,Noun
たんじゅん,simple; plain; uncomplicated; straightforward,単純,Na-adjective; Noun
ふだん,usual; normal; everyday; habitual; usually; normally; generally; habitually,普段,No-adjective; Noun; Temporal noun
いがい,unexpected; surprising,意外,Na-adjective; Adverb taking the 'to' particle; Noun
よあけ,dawn; daybreak,夜明け,Noun
ばめん,"scene; setting; place (where something happens); scenario; scene (in a movie, play); shot; state of the market",場面,Noun
たいかい,tournament; competition; meet; convention; mass meeting; rally; grand event,大会,Noun
ふんいき,atmosphere; mood; ambience; ambiance; a certain air; presence; special aura; something (about someone); (Earth's) atmosphere,雰囲気,Noun
そうさ,operation; management; handling; manipulating (to one's benefit); manipulation; influencing,操作,Noun; Suru verb
しゅくはく,accommodation; lodging,宿泊,Noun; Suru verb
つとめ,service; duty; business; responsibility; Buddhist religious services,勤め,Noun
きんがく,amount of money,金額,Noun
ぜんしゃ,the former,前者,Noun
しどう,guidance; leadership; instruction; direction; shido (disciplinary action for a minor infringement of the rules of judo),指導,Noun; Suru verb
たおす,to throw down; to bring down; to blow down; to fell,倒す,Godan verb with su ending; Transitive verb
しげき,stimulus; impetus; incentive; encouragement,刺激,Noun; Suru verb
りょうがえ,change; money exchange,両替,Noun; Suru verb
れんぞく,continuation; succession; series,連続,Noun; Suru verb
くるしい,painful; difficult; tough; hard; distressing; (psychologically) difficult; stressful; awkward (e.g. position); straitened (circumstances),苦しい,I-adjective; Auxiliary adjective
