より,than; from; out of; since; at; except; but; other than; more,,Particle; Adverb
あそこ,there (place physically distant from both speaker and listener); over there; that place; yonder; genitals; private parts; nether regions,彼処,Pronoun; Noun
うるさい,noisy; loud; annoying; troublesome; tiresome; persistent; fussy; finicky; picky; particular; shut up!; be quiet!,煩い,I-adjective
つまらない,dull; uninteresting; boring; tedious; insignificant; unimportant; trifling; trivial; absurd; foolish; silly; stupid; useless; pointless; disappointing,詰らない,I-adjective
まっすぐ,straight (ahead); direct; upright; erect; straightforward; honest; frank,真っ直ぐ,Na-adjective; Adverb; Noun
おばあさん,grandmother; old woman; female senior citizen,お祖母さん,Noun
まずい,unappetising; unappetizing; unsavoury; unsavory; unskillful; unskilful; bungling; clumsy; ugly; unattractive; homely; plain; awkward; problematic,不味い,I-adjective
はがき,postcard; memo; note; card,葉書,Noun
ワイシャツ,shirt; business shirt; dress shirt,Ｙシャツ,Noun
おまわりさん,police officer,お巡りさん,Noun
キロメートル,kilometer; kilometre,粁,Noun
よく,nicely; properly; well; skillfully; frequently; often; I'm glad that you ...; thank you for ...,良く,Adverb
いる,to be needed; to be wanted,要る,Godan verb with ru ending; intransitive verb
でも,but; however; though; nevertheless; even; however; no matter how; even if; even though; ... or something; either ... or ...,,Conjunction; Particle; Prefix
など,et cetera; etc.; and the like; and so forth; or something; the likes of,等,Particle
クラス,class; Kras (Slovenia); Crass,,Noun; Place
プール,(swimming) pool; pool (billiards); pool (together); Poole (Britain); Pool,,Noun; Suru verb; Place
テレビ,television; TV; TV program; TV programme; TV broadcast,,Noun
ホテル,hotel,,Noun
ニュース,news,,Noun
テーブル,table,,Noun; No-adjective
カメラ,camera,,Noun
タクシー,taxi,,Noun
スポーツ,sport; sports,,Noun; No-adjective
ラジオ,radio,,Noun
ペン,pen,,Noun
レストラン,restaurant (esp. Western-style),,Noun
テスト,test,,Noun; Suru verb
ベッド,bed,,Noun
パン,bread; pastries (e.g. croissants); pastry-based products; pan; frying pan; panning (in a film),,Noun; Suru verb
ナイフ,knife,,Noun
シャツ,"shirt (underwear); undershirt; singlet; shirt (outerwear, esp. dress shirt)",,Noun
ネクタイ,tie; necktie,,Noun
ギター,guitar,,Noun
セーター,sweater; jumper,,Noun
アパート,apartment building; apartment block; apartment house; apartment,,Noun
ポケット,pocket,,Noun
バター,butter,,Noun
キロ,kilo-; 1000; kilogram; kilogramme; kilometre; kilometer; kilo-; 1024; 2^10,,Prefix; Noun
スカート,skirt,,Noun
レコード,record (e.g. LP); record (e.g. in sports); record (data structure),,Noun
エレベーター,elevator; lift; elevator (aviation),,Noun
ズボン,trousers; pants,,Noun
ポスト,postbox; mail box; pillar box; post; position; post (e.g. goalpost); post- (e.g. post-Cold War),,Noun; Noun or verb acting prenominally
コピー,copy; photocopy; blurb on a book jacket; catch copy,,Noun; Suru verb
シャワー,shower,,Noun
ハンカチ,handkerchief,,Noun
ストーブ,(room) heater; stove,,Noun
テープ,tape,,Noun
カップ,"cup (drinking vessel, measure, brassiere, prize, etc.)",,Noun
テープレコーダー,tape recorder,,Noun
ボールペン,ball-point pen,,Noun
スプーン,spoon,,Noun
スリッパ,slipper; slippers,,Noun
はい,yes; that is correct; understood; I see; OK; okay; present; here; pardon?; what's that?; come again?; now; here; here you go; giddy-up; giddap,,
ペット,pet; trumpet,,Noun
する,to do; to carry out; to perform; to cause to become; to make (into); to turn (into); to serve as; to act as; to work as,為る,Suru verb - irregular; intransitive verb; Transitive verb; Suffix; Auxiliary verb
あれ,"that (indicating something distant from both speaker and listener (in space, time or psychologically), or something understood without naming it directly)",彼,Pronoun; Noun
バス,bus; bath; bass; Bath (Britain); Basse; Buss,,Noun; Place
ひとり,one person; being alone; being by oneself; being single; being unmarried; by oneself; alone; just; only; simply,一人,Noun; Adverb
いいえ,no; nay; well; er; why; you're welcome; not at all; don't mention it,否,
おばさん,aunt,伯母さん,Noun
ここ,"here (place physically close to the speaker, place pointed by the speaker while explaining); this place",此処,Pronoun
もう,now; soon; shortly; before long; already; yet; by now; (not) anymore; further; more; again; another; tsk; dammit; jeez; come on,,Adverb
どう,how; in what way; how about,如何,Adverb
まだ,still; as yet; hitherto; only; not yet; more; besides; unfinished; incomplete; not yet finished with,未だ,Adverb; Na-adjective
もっと,(some) more; even more; longer; further,,Adverb
いつ,when; how soon,何時,Adverbial noun
パーティー,"party (gathering, celebration, etc.); party (group, political, etc.)",,Noun
ドア,"door (Western-style, car, etc.)",,Noun
どうぞ,please; kindly; I beg of you; by all means; feel free; you are welcome; here you are,,Adverb
こんな,"such (about something or someone close to the speaker (including the speaker), or about ideas expressed by the speaker); like this",,Pre-noun adjectival
そして,and; and then; thus; and now,然して,Conjunction
ゆっくり,slowly; at ease; restful,,Adverb; Noun; Suru verb; Adverb taking the 'to' particle
コート,"coat; court (i.e. tennis, basketball, etc.)",,Noun
さあ,come; come now; come along; go on; well; who knows; I don't know...; uh; well now; let's see; there we go; all right; about that; you see,,Conjunction
どうも,thank you; thanks; much (thanks); very (sorry); quite (regret); quite; really; mostly; somehow; in spite of oneself; try as one might,,; Adverb
じゃあ,then; well; so; well then; combination of 'de' and 'wa' particles; plain copula,,Conjunction; Auxiliary
コップ,glass (drinking vessel); tumbler; cop (police officer),,Noun
それから,and then; after that,其れから,Expression
ええ,yes; that is correct; right; um; errr; huh?; grrr; gah; Must I?; good,,; Noun or verb acting prenominally
ノート,notebook; copy-book; exercise book; note; noting down; (musical) note; notebook computer; laptop,,Noun; Suru verb
ボタン,button,,Noun
デパート,department store; department,,Noun
トイレ,toilet; restroom; bathroom; lavatory,,Noun
それでは,well then ...; in that situation; in which case,其れでは,Expression
フォーク,fork; folk; folk song; hawk,,Noun
では,then; well; so; well then,,Conjunction
フィルム,film,,Noun
ぬるい,lukewarm; tepid; lenient; slow; stupid,温い,I-adjective
カレンダー,calendar; calender (machine for flattening things),,Noun
そうして,and; like that,然うして,Conjunction
グラム,gram; gramme,瓦,Noun
キログラム,kilogram; kilogramme,瓩,Noun
すぐに,immediately; right away; at once; instantly,直ぐに,Adverb
あの,say; well; um; er,,
マッチ,match (contest); to match with; to go well with,,Noun; Suru verb
マッチ,match (to light fire with),燐寸,Noun
カレー,curry (esp. Japanese curry); rice and curry,咖哩,Noun
ラジカセ,radio-cassette player,,Noun
