あげる,"to raise; to elevate; to do up (one's hair); to fly (a kite, etc.); to launch (fireworks, etc.); to surface (a submarine, etc.); to land (a boat)",上げる,Ichidan verb; Transitive verb; intransitive verb; Auxiliary verb
しかい,leading a meeting; presiding over a meeting; officiating at a ceremony; chairmanship; chairman; presenter; host; moderator,司会,Noun; Suru verb
ぐん,"district; county; district (of 2-20 50-home neighbourhoods or townships, in the ritsuryo period)",郡,Noun
めいぶつ,famous product; special product; speciality; specialty,名物,Noun
りゅういき,drainage basin; catchment basin; river basin; watershed,流域,Noun
じゅうりょく,gravity; gravitation; gravitational pull,重力,Noun
すぎ,Japanese cedar (Cryptomeria japonica),杉,Noun
ひっき,(taking) notes; copying,筆記,Noun; Suru verb; No-adjective
たんこう,coal mine; coal pit,炭鉱,Noun
こんだて,menu; bill of fare; program; programme; schedule,献立,Noun
かわせ,money order; draft; exchange (e.g. foreign),為替,Noun
ほけん,preservation of health; hygiene; sanitation,保健,Noun
じち,self-government; autonomy; local (governmental) autonomy,自治,Noun
ゆかた,yukata (light cotton kimono worn in the summer or used as a bathrobe),浴衣,Noun
しゃかいかがく,social science,社会科学,Noun
ずかん,pictorial book; picture book; illustrated reference book; identification manual,図鑑,Noun
せいれき,Common Era; CE; Christian Era; anno domini; Western (Gregorian) calendar,西暦,Noun
ゆけつ,blood transfusion,輸血,Noun; Suru verb
しへい,paper money; note; bill,紙幣,Noun
そくりょう,measurement; surveying,測量,Noun; Suru verb
かいさつ,examination of tickets; ticket gate; ticket barrier,改札,Noun; Suru verb
とうげ,(mountain) pass; ridge; peak; peak (e.g. of summer); worst (e.g. of an illness); crisis; critical point,峠,Noun; Noun - used as a suffix
がっかい,scientific society; academic meeting; academic conference,学会,Noun
あいまい,vague; ambiguous; unclear; fuzzy,曖昧,Na-adjective; Noun
はしご,ladder; stairs; going to several places in succession (e.g. barhopping),梯子,Noun; Suru verb
ひじ,elbow,肘,Noun
じゅうたん,carpet; rug; runner,絨毯,Noun
くぎ,nail; spike; tack; rivet,釘,Noun
あみもの,knitting; knitted material; crochet,編み物,Noun; No-adjective
きたい,gas; vapour; vapor; gaseous body,気体,Noun
ゆでる,"to boil (something in hot water); to treat with medicinal steam (a swelling, etc.)",茹でる,Ichidan verb; Transitive verb
