嗚呼,ああ,"Ah!, Oh!, Alas!"
唸る,うなる,"to groan, to moan, to roar, to howl, to growl, to hum, to buzz, to sough"
自惚れ,うぬぼれ,"pretension, conceit, hubris"
甘い,うまい,delicious
生まれつき,うまれつき,"by nature, by birth, native"
海路,うみじ,sea route
産む,うむ,"to give birth, to deliver, to produce"
埋め込む,うめこむ,to bury
梅干,うめぼし,dried plum
末,うら,"top end, tip"
裏返し,うらがえし,"inside out, upside down"
売り出し,うりだし,(bargain) sale
売り出す,うりだす,"to put on sale, to market, to become popular"
潤う,うるおう,"to be moist, to be damp, to get wet, to profit by, to be watered, to receive benefits, to favor, to charm, t"
五月蝿い,うるさい,"noisy, loud, fussy"
売れ行き,うれゆき,sales
浮気,うわき,"flighty, fickle, wanton, unfaithful"
上手,うわて,"1. upper part, upper stream, left side (of a stage), 2. skillful (only in comparisons), dexterity (on"
上回る,うわまわる,to exceed
植わる,うわる,to be planted
運営,うんえい,"management, administration, operation"
運送,うんそう,"shipping, marine transportation"
運賃,うんちん,"freight rates, shipping expenses, fare"
云々,うんぬん,"and so on, and so forth, comment"
運搬,うんぱん,"transport, carriage"
運命,うんめい,fate
運輸,うんゆ,transportation
運用,うんよう,"making use of, application, investment, practical use"
会,え,understanding
重,え,"-fold, -ply"
映写,えいしゃ,projection
英字,えいじ,English letter (character)
衛生,えいせい,"health, hygiene, sanitation, medical"
映像,えいぞう,"reflection, image"
英雄,えいゆう,"hero, great man"
液,えき,"liquid, fluid"
役,えき,"war, campaign, battle"
閲覧,えつらん,"inspection, reading"
獲物,えもの,"game, spoils, trophy"
襟,えり,"neck, collar, lapel, neckband"
縁,えん,"chance, fate, destiny, relation, bonds, connection, karma"
塩,えん,salt
艶,えん,"charming, fascinating, voluptuous"
園,えん,garden (esp. man-made)
円滑,えんかつ,"harmony, smoothness"
縁側,えんがわ,"veranda, porch, balcony, open corridor"
沿岸,えんがん,"coast, shore"
婉曲,えんきょく,"euphemistic, circumlocution, roundabout, indirect, insinuating"
演習,えんしゅう,"practice, exercises, manoeuvers"
演出,えんしゅつ,"production (e.g. play), direction"
演じる,えんじる,"to perform (a play), to play (a part), to act (a part), to commit (a blunder)"
演ずる,えんずる,"to perform, to play"
沿線,えんせん,along railway line
縁談,えんだん,"marriage proposal, engagement"
遠方,えんぽう,"long way, distant place"
円満,えんまん,"perfection, harmony, peace, smoothness, completeness, satisfaction, integrity"
尾,お,"tail, ridge"
於,お,"at, in, on"
甥,おい,nephew
追い込む,おいこむ,"to herd, to corner, to drive"
美味しい,おいしい,"delicious, tasty"
追い出す,おいだす,"to expel, to drive out"
於いて,おいて,"at, in, on"
お出でになる,おいでになる,to be
老いる,おいる,"to age, to grow old"
負う,おう,"to bear, to owe"
応急,おうきゅう,emergency
黄金,おうごん,gold
黄色,おうしょく,yellow
応募,おうぼ,"subscription, application"
大方,おおかた,"perhaps, almost all, majority"
大柄,おおがら,"large build, large pattern"
大げさ,おおげさ,"grandiose, exaggerated"
大事,おおごと,"important, valuable, serious matter"
大ざっぱ,おおざっぱ,"rough (as in not precise), broad, sketchy"
大筋,おおすじ,"outline, summary"
大空,おおぞら,"heaven, firmament, the sky"
大幅,おおはば,"full width, large scale, drastic"
大水,おおみず,flood
公,おおやけ,"official, public, formal, open, governmental"
お蔭,おかげ,"(your) backing, assistance"
お蔭様で,おかげさまで,"Thanks to god, thanks to you"
可笑しい,おかしい,"strange, funny, amusing, ridiculous"
犯す,おかす,"to commit, to perpetrate, to violate, to rape"
侵す,おかす,"to invade, to raid, to trespass, to violate, to intrude on"
お菜,おかず,"side dish, accompaniment for rice dishes"
臆病,おくびょう,"cowardice, timidity"
遅らす,おくらす,"to retard, to delay"
遅れ,おくれ,"delay, lag"
起こす,おこす,"to raise, to cause, to wake someone"
行い,おこない,"deed, conduct, behavior, action, asceticism"
厳か,おごそか,"austere, majestic, dignified, stately, awful, impressive"
傲る,おごる,to be proud
長,おさ,"chief, head"
押さえる,おさえる,"to stop, to restrain, to seize, to repress, to suppress, to press down"
お先に,おさきに,"before, ahead, previously"
収まる,おさまる,"to be obtained, to end, to settle into, to fit into, to be settled, to be paid, to be delivered"
納まる,おさまる,"to be obtained, to end, to settle into, to fit into, to be settled, to be paid, to be delivered"
治まる,おさまる,"to be at peace, to clamp down, to lessen (storm terror anger)"
お産,おさん,(giving) birth
教え,おしえ,"teachings, precept, lesson, doctrine"
押し込む,おしこむ,"to push into, to crowd into"
惜しむ,おしむ,"to be frugal, to value, to regret"
お喋り,おしゃべり,"chattering, talk, idle talk, chat, chitchat, gossip, chatty, talkative, chatterbox, blabbermouth"
お洒落,おしゃれ,"smartly dressed, someone smartly dressed, fashion-conscious"
押し寄せる,おしよせる,"to push aside, to advance on"
お祖父さん,おじいさん,"grandfather, male senior-citizen"
お邪魔します,おじゃまします,Excuse me for disturbing (interrupting) you
雄,おす,male (animal)
お世辞,おせじ,"flattery, compliment"
襲う,おそう,to attack
遅くとも,おそくとも,at the latest
恐らく,おそらく,perhaps
恐れ,おそれ,"fear, horror"
恐れ入る,おそれいる,"to be filled with awe, to feel small, to be amazed, to be surprised, to be disconcerted, to be sorry, to b"
お大事に,おだいじに,Take care of yourself
煽てる,おだてる,"to stir up, to instigate, to flatter"
落ち込む,おちこむ,"to fall into, to feel down (sad)"
落ち着き,おちつき,"calm, composure"
落ち葉,おちば,"fallen leaves, leaf litter, defoliation, shedding leaves"
落ちる,おちる,"to fail (e.g. exam), to fall down, to drop"
仰っしゃる,おっしゃる,"to say, to speak, to tell, to talk"
乙,おつ,"1. strange, quaint, stylish, chic, spicy, queer, witty, tasty, romantic, 2. 2nd in rank, second sign of the"
お使い,おつかい,errand
お手上げ,おてあげ,"all over, given in, given up hope, bring to knees"
御手洗い,おてあらい,"toilet, restroom, lavatory, bathroom (US)"
弟,おと,younger brother
落とす,おとす,"to drop, to lose, to let fall"
訪れる,おとずれる,to visit
大人しい,おとなしい,"obedient, docile, quiet"
少女,おとめ,"daughter, young lady, virgin, maiden, little girl"
お供,おとも,"attendant, companion"
衰える,おとろえる,"to become weak, to decline, to wear, to abate, to decay, to wither, to waste away"
脅かす,おどかす,"to threaten, to coerce"
脅す,おどす,"to threaten, to menace"
驚き,おどろき,"surprise, astonishment, wonder"
同い年,おないどし,of the same age
女子,おなご,"woman, girl"
お願いします,おねがいします,please
各,おのおの,"each, every, either, respectively, severally"
自ずから,おのずから,"naturally, as a matter of course"
お早う,おはよう,Good morning
お祖母さん,おばあさん,"grandmother, female senior-citizen"
怯える,おびえる,"to become frightened, to have a nightmare"
夥しい,おびただしい,"abundantly, innumerably"
帯びる,おびる,"to wear, to carry, to be entrusted, to have, to take on, to have a trace of, to be tinged with"
覚え,おぼえ,"memory, sense, experience"
御負け,おまけ,"1. a discount, a prize, 2. something additional, bonus, an extra, 3. an exaggeration"
お巡りさん,おまわりさん,policeman (friendly term)
お宮,おみや,Shinto shrine
お襁褓,おむつ,"diaper, nappy"
お目出度う,おめでとう,"(ateji) (int) (uk) Congratulations!, an auspicious occasion!"
面,おも,face
思い付き,おもいつき,"plan, idea, suggestion"
面白い,おもしろい,"interesting, amusing"
玩具,おもちゃ,toy
重なる,おもなる,"main, principal, important"
趣,おもむき,"meaning, tenor, gist, effect, appearance, taste, grace, charm, refinement"
赴く,おもむく,"to go, to proceed, to repair to, to become"
重役,おもやく,"heavy responsibilities, director"
重んじる,おもんじる,"to respect, to honor, to esteem, to prize"
重んずる,おもんずる,"to honor, to respect, to esteem, to prize"
お休み,おやすみ,"holiday, absence, rest, Good night"
お八,おやつ,"1. (uk) between meal snack, afternoon refreshment, afternoon tea, 2. mid-day snack"
凡そ,およそ,"about, roughly, as a rule, approximately"
及び,および,"and, as well as"
及ぶ,およぶ,"to reach, to come up to, to amount to, to befall, to happen to, to extend, to match, to equal"
織,おり,"weave, weaving, woven item"
檻,おり,"cage, pen, jail cell"
折り返す,おりかえす,"to turn up, to fold back"
織物,おりもの,"textile, fabric"
織る,おる,to weave
俺,おれ,I (ego) (boastful first-person pronoun)
愚か,おろか,"foolish, stupid"
疎か,おろそか,"neglect, negligence, carelessness"
終わる,おわる,"to finish, to close"
音色,おんいろ,"tone color, tone quality, timbre, synthesizer patch"
温和,おんわ,"gentle, mild, moderate"
仮,か,"tentative, provisional"
科,か,"department, section"
個,か,article counter
下位,かい,"low rank, subordinate, lower order (e.g. byte)"
階,かい,"-floor (counter), stories"
改悪,かいあく,"deterioration, changing for the worse"
海運,かいうん,"maritime, marine transportation"
改革,かいかく,"reform, reformation, innovation"
貝殻,かいがら,shell
階級,かいきゅう,"class, rank, grade"
海峡,かいきょう,channel
会見,かいけん,"interview, audience"
介護,かいご,nursing
開催,かいさい,"holding a meeting, open an exhibition"
回収,かいしゅう,"collection, recovery"
改修,かいしゅう,"repair, improvement"
怪獣,かいじゅう,monster
解除,かいじょ,"cancellation, rescinding, release, calling off"
回送,かいそう,forwarding
階層,かいそう,"class, level, stratum, hierarchy"
開拓,かいたく,"reclamation (of wasteland), cultivation, pioneer"
会談,かいだん,"conversation, conference, discussion, interview"
改定,かいてい,reform
改訂,かいてい,revision
街道,かいどう,highway
介入,かいにゅう,intervention
開発,かいはつ,"development, exploitation"
海抜,かいばつ,height above sea level
介抱,かいほう,"nursing, looking after"
解剖,かいぼう,"dissection, autopsy"
回覧,かいらん,circulation
海流,かいりゅう,ocean current
改良,かいりょう,"improvement, reform"
回路,かいろ,circuit (electric)
顧みる,かえりみる,"to look back, to turn around, to review"
省みる,かえりみる,to reflect
返る,かえる,"to return, to come back, to go back"
顔付き,かおつき,"(outward) looks, features, face, countenance, expression"
掲げる,かかげる,"to publish, to print, to carry (an article), to put up, to hang out, to hoist, to fly (a sail), to float (a"
踵,かかと,(shoe) heel
係り,かかり,"official, duty, person in charge"
課外,かがい,extracurricular
書き取り,かきとり,dictation
書き取る,かきとる,"to write down, to take dictation, to take notes"
掻き回す,かきまわす,"to stir up, to churn, to ransack, to disturb"
欠く,かく,"to lack, to break, to crack, to chip"
角,かく,"1. angle, 2. bishop (shogi)"
核,かく,"nucleus, kernel"
格,かく,"status, character, case"
佳句,かく,beautiful passage of literature
画,かく,stroke
格差,かくさ,"qualitative difference, disparity"
拡散,かくさん,"scattering, diffusion"
各種,かくしゅ,"every kind, all sorts"
隔週,かくしゅう,every other week
確信,かくしん,"conviction, confidence"
革新,かくしん,"reform, innovation"
確定,かくてい,"definition (math), decision, settlement"
獲得,かくとく,"acquisition, possession"
確保,かくほ,"guarantee, ensure, maintain, insure, secure"
革命,かくめい,revolution
確立,かくりつ,establishment
賭け,かけ,"betting, gambling, a gamble"
掛け,かけ,credit
駆け足,かけあし,"running fast, double time"
家計,かけい,"household economy, family finances"
駆けっこ,かけっこ,(foot) race
駆ける,かける,"to run (race esp. horse), to gallop, to canter"
賭ける,かける,"to wager, to bet, to risk, to stake, to gamble"
ヶ月,かげつ,#NAME?
加工,かこう,"manufacturing, processing, treatment"
化合,かごう,chemical combination
嵩張る,かさばる,"to be bulky, to be unwieldy, to grow voluminous"
嵩む,かさむ,"to pile up, to increase"
風車,かざぐるま,"1. windmill, 2. pinwheel"
畏まりました,かしこまりました,certainly!
華奢,かしゃ,"luxury, pomp, delicate, slender, gorgeous"
箇所,かしょ,"passage, place, point, part"
火傷,かしょう,"burn, scald"
箇条書き,かじょうがき,"itemized form, itemization"
噛る,かじる,"to chew, to bite (at), to gnaw, to nibble, to munch, to crunch, to have a smattering of"
微か,かすか,"faint, dim, weak, indistinct, hazy, poor, wretched"
霞む,かすむ,"to grow hazy, to be misty"
化する,かする,"to change into, to convert into, to transform, to be reduced, to influence, to improve (someone)"
擦る,かする,"to touch lightly, to take a percentage (from)"
火星,かせい,Mars (planet)
化石,かせき,"fossil, petrifaction, fossilization"
河川,かせん,rivers
化繊,かせん,synthetic fibres
過疎,かそ,depopulation
過多,かた,"excess, superabundance"
難い,かたい,"difficult, hard"
片思い,かたおもい,unrequited love
敵,かたき,"enemy, rival"
気質,かたぎ,"spirit, character, trait, temperament, disposition"
片言,かたこと,"a smattering, talk like a baby, speak haltingly"
片付け,かたづけ,"tidying up, finishing"
傾く,かたぶく,"to incline toward, to slant, to lurch, to heel over, to be disposed to, to trend toward, to be prone to, to"
傾ける,かたむける,"to incline, to list, to bend, to lean, to tip, to tilt, to slant, to concentrate on, to ruin (a country), to"
固める,かためる,"to harden, to freeze, to fortify"
偏る,かたよる,"to be one-sided, to incline, to be partial, to be prejudiced, to lean, to be biased"
傍ら,かたわら,"beside(s), while, nearby"
課題,かだい,"subject, theme, task"
花壇,かだん,flower bed
家畜,かちく,"domestic animals, livestock, cattle"
画期,かっき,epoch-making
活発,かっぱつ,"vigor, active"
且つ,かつ,"yet, and"
割,かつ,"divide, cut, halve, separate, split, rip, break, crack, smash, dilute"
嘗て,かつて,"once, ever"
日付,かづけ,"date, dating"
門,かど,gate
叶う,かなう,to come true (wish)
叶える,かなえる,to grant (request wish)
金槌,かなづち,"1. (iron) hammer, 2. punishment"
鉄棒,かなぼう,"iron rod, crowbar, horizontal bar (gymnastics)"
可成,かなり,"considerably, fairly, quite"
加入,かにゅう,"becoming a member, joining, entry, admission, subscription, affiliation, adherence, signing"
金庫,かねぐら,"safe, vault, treasury, provider of funds"
予言,かねごと,"prediction, promise, prognostication"
兼ねて,かねて,simultaneously
下番,かばん,going off duty
下品,かひん,inferior article
華美,かび,"pomp, splendor, gaudiness"
花粉,かふん,pollen
株式,かぶしき,stock (company)
気触れる,かぶれる,"to react to, to be influenced by, to go overboard for"
貨幣,かへい,"money, currency, coinage"
構え,かまえ,"posture, pose, style"
構える,かまえる,to set up
加味,かみ,"seasoning, flavoring"
噛み切る,かみきる,"to bite off, to gnaw through"
過密,かみつ,crowded
瓶,かめ,earthenware pot
かも知れない,かもしれない,"may, might, perhaps, may be, possibly"
粥,かゆ,(rice) gruel
痒い,かゆい,"itchy, itching"
揶揄う,からかう,"to ridicule, to tease, to banter with, to make fun of"
身体,からだ,the body
体付き,からだつき,"body build, figure"
絡む,からむ,"to entangle, to entwine"
借り,かり,"borrowing, debt, loan"
下吏,かり,lower official
加留多,かるた,(pt:) (n) playing cards (pt: carta)
涸れる,かれる,"to dry up, to run out"
過労,かろう,"overwork, strain"
辛うじて,かろうじて,"barely, narrowly, just manage to do st"
側,かわ,"side, row, surroundings, part, (watch) case"
可愛い,かわいい,"pretty, cute, lovely, charming, dear, darling, pet"
可愛がる,かわいがる,"to love, to be affectionate"
可哀想,かわいそう,"poor, pitiable, pathetic"
可愛らしい,かわいらしい,"lovely, sweet"
交わす,かわす,"to exchange (messages), to dodge, to parry, to avoid, to turn aside"
代わる,かわる,"to take the place of, to relieve, to be substituted for, to be exchanged, to change places with, to take"
代わる代わる,かわるがわる,alternately
乾,かん,"heaven, emperor"
管,かん,"pipe, tube"
幹,かん,(tree) trunk
冠,かん,"crown, diadem, first, best, peerless, cap, naming, designating, initiating on coming of age, top character ra"
観,かん,"look, appearance, spectacle"
館,かん,"house, hall, building, hotel, inn, guesthouse"
簡易,かんい,"simplicity, easiness, quasi-"
感慨,かんがい,"strong feelings, deep emotion"
寒気,かんき,"cold, frost, chill"
簡潔,かんけつ,"brevity, conciseness, simplicity"
還元,かんげん,"resolution, reduction, return to origins"
刊行,かんこう,"publication, issue"
慣行,かんこう,"customary practice, habit, traditional event"
勧告,かんこく,"advice, counsel, remonstrance, recommendation"
看護,かんご,"nursing, (army) nurse"
漢語,かんご,"Chinese word, Sino-Japanese word"
換算,かんさん,"conversion, change, exchange"
監視,かんし,"observation, guarding, inspection, surveillance"
慣習,かんしゅう,usual (historical) custom
