腿,もも,"thigh, femur"
流,りゅう,"styleof, method of, manner of"
流通,りゅうつう,"circulation of money or goods, flow of water or air, distribution"
了,りょう,"finish, completion, understanding"
料,りょう,"material, charge, rate, fee"
領域,りょういき,"area, domain, territory, field, region, regime"
了解,りょうかい,"comprehension, consent, understanding, roger (on the radio)"
領海,りょうかい,territorial waters
両極,りょうきょく,"both extremities, north and south poles, positive and negative poles"
良好,りょうこう,"favorable, satisfactory"
良識,りょうしき,good sense
良質,りょうしつ,"good quality, superior quality"
了承,りょうしょう,"acknowledgement, understanding (e.g. please be understanding of the mess during our renovation)"
良心,りょうしん,conscience
領地,りょうち,"territory, dominion"
領土,りょうど,"dominion, territory, possession"
両立,りょうりつ,"compatibility, coexistence, standing together"
旅客,りょかく,passenger (transport)
旅券,りょけん,passport
履歴,りれき,"personal history, background, career, log"
理論,りろん,theory
輪,りん,counter for wheels and flowers
林業,りんぎょう,forestry
類似,るいじ,analogous
類推,るいすい,analogy
冷酷,れいこく,"cruelty, coldheartedness, relentless, ruthless"
冷蔵,れいぞう,"cold storage, refrigeration"
冷淡,れいたん,"coolness, indifference"
恋愛,れんあい,"love, love-making, passion, emotion, affections"
連休,れんきゅう,consecutive holidays
連日,れんじつ,"every day, prolonged"
連中,れんじゅう,"colleagues, company, a lot"
連帯,れんたい,solidarity
連邦,れんぽう,"commonwealth, federation of states"
連盟,れんめい,"league, union, alliance"
老衰,ろうすい,"senility, senile decay"
朗読,ろうどく,"reading aloud, recitation"
浪費,ろうひ,"waste, extravagance"
労力,ろうりょく,"labour, effort, toil, trouble"
碌な,ろくな,"satisfactory, decent"
碌に,ろくに,"well, enough, sufficient"
露骨,ろこつ,"1. frank, blunt, plain, outspoken, 2. conspicuous, open, 3. broad, suggestive"
論議,ろんぎ,discussion
論理,ろんり,logic
和,わ,"sum, harmony, peace"
我がまま,わがまま,"selfishness, egoism, wilfulness, disobedience, whim"
枠,わく,"frame, slide"
惑星,わくせい,planet
技,わざ,"art, technique"
態と,わざと,on purpose
態々,わざわざ,"expressly, specially, doing something especially rather than incidentally"
煩わしい,わずらわしい,"troublesome, annoying, complicated"
渡り鳥,わたりどり,"migratory bird, bird of passage"
詫び,わび,apology
和風,わふう,Japanese style
和文,わぶん,"Japanese text, sentence in Japanese"
藁,わら,straw
割合に,わりあいに,comparatively
割り当て,わりあて,"allotment, assignment, allocation, quota, rationing"
割り込む,わりこむ,"to cut in, to thrust oneself into, to wedge oneself in, to muscle in on, to interrupt, to disturb"
割り算,わりざん,division (math)
割引き,わりびき,"discount, reduction, rebate, tenths discounted"
悪者,わるもの,"bad fellow, rascal, ruffian, scoundrel"
ローマ字,ローマじ,"romanization, Roman letters"
