灯台,とうだい,lighthouse
煮える,にえる,"to boil,to cook,to be cooked"
匂う,におう,"to be fragrant,to smell,to stink"
逃がす,にがす,"to let loose,to set free,to let escape"
憎い,にくい,"hateful,abominable,poor-looking,detestable"
憎む,にくむ,"to hate,to detest"
憎らしい,にくらしい,"odious,hateful"
濁る,にごる,"to become muddy,to get impure"
虹,にじ,rainbow
日時,にちじ,date and time
日用品,にちようひん,daily necessities
日課,にっか,"daily lesson,daily work,daily routine"
日程,にってい,agenda
鈍い,にぶい,"dull (e.g. a knife),thickheaded,slow (opposite of fast),stupid"
入社,にゅうしゃ,entry to a company
女房,にょうぼう,wife
睨む,にらむ,"to glare at,to scowl at,to keep an eye on"
煮る,にる,"to boil,to cook"
俄,にわか,"sudden,abrupt,unexpected,improvised,offhand"
縫う,ぬう,to sew
濡らす,ぬらす,"to wet,to soak,to dip"
捩る,ねじる,to twist
熱する,ねっする,to heat
寝間着,ねまき,"sleep-wear,nightclothes,pyjamas,nightgown,nightdress"
寝巻,ねまき,"sleep-wear,nightclothes,pyjamas,nightgown,nightdress"
狙い,ねらい,aim
狙う,ねらう,to aim at
年度,ねんど,"year,fiscal year,school year,term"
農産物,のうさんぶつ,agricultural produce
農村,のうそん,"agricultural community,farm village,rural"
濃度,のうど,"concentration,brightness"
農薬,のうやく,agricultural chemicals
能率,のうりつ,efficiency
残らず,のこらず,"all,entirely,completely,without exception"
載せる,のせる,"to place on (something),to take on board,to give a ride"
覗く,のぞく,"to peep in,to look in,to peek in,to stick out"
延ばす,のばす,"to lengthen,to stretch,to reach out,to grow (beard)"
延びる,のびる,to be prolonged
上り,のぼり,"up-train (going to Tokyo),ascent"
上る,のぼる,"to ascend,to go up,to climb"
糊,のり,"paste,starch"
乗換,のりかえ,"(n) transfer (trains, buses, etc.)"
載る,のる,"to appear (in print),to be recorded"
鈍い,のろい,"dull (e.g. a knife),thickheaded,slow (opposite of fast),stupid"
呑気,のんき,"carefree,optimistic,careless,reckless,heedless"
灰色,はいいろ,"grey,gray,ashen"
俳句,はいく,haiku poetry
拝見,はいけん,"(hum) (pol) seeing,look at"
売店,ばいてん,"shop,stand"
売買,ばいばい,"trade,buying and selling"
這う,はう,"to creep,to crawl"
生える,はえる,"(1) to grow,to spring up,(2) to cut (teeth)"
剥す,はがす,"(v5s) to tear off,to peel off,to rip off"
秤,はかり,"scales,weighing machine"
量る,はかる,"to measure,to weigh,to survey"
測る,はかる,"to measure,to weigh,to survey"
吐き気,はきけ,"nausea,sickness in the stomach"
掃く,はく,"to sweep,to brush,to gather up"
歯車,はぐるま,"gear,cog-wheel"
挟まる,はさまる,"to get between,to be caught in"
挟む,はさむ,"to interpose,to hold between,to insert"
箸,はし,chopsticks
梯子,はしご,"ladder,stairs"
始めに,はじめに,"to begin with,first of all"
初めに,はじめに,first; firstly; first of all; to begin with; in the beginning; at the beginning
斜め,ななめ,slanting; tilted; sloping; diagonal; oblique
斜,はす,diagonal​
外れる,はずれる,"to be disconnected,to get out of place,to be off,to be out (e.g. of gear)"
肌着,はだぎ,underwear
果して,はたして,"as was expected,really"
鉢,はち,"a bowl,a pot"
発揮,はっき,"exhibition,demonstration,utilization,display"
発射,はっしゃ,"firing,shooting,discharge,catapult"
発想,はっそう,"expression (music),conceptualization"
発電,はつでん,generation (e.g. power)
発売,はつばい,sale
派手,はで,"showy,loud,gay,flashy,gaudy"
話合い,はなしあい,"discussion,conference"
話し掛ける,はなしかける,"to accost a person,to talk (to someone)"
話中,はなしちゅう,"while talking,the line is busy"
甚だしい,はなはだしい,"extreme,excessive,terrible"
花火,はなび,fireworks
花嫁,はなよめ,bride
放れる,はなれる,"to leave,to get free,to cut oneself off"
羽根,はね,shuttlecock
跳ねる,はねる,"to jump,to leap"
破片,はへん,"fragment,splinter,broken piece"
歯磨き,はみがき,"dentifrice,toothpaste"
早口,はやくち,fast-talking
流行る,はやる,"to flourish,to thrive,to be popular,to come into fashion"
払い込む,はらいこむ,"to deposit,to pay in"
払い戻す,はらいもどす,"to repay,to pay back"
針金,はりがね,wire
張り切る,はりきる,"to be in high spirits,to be full of vigor"
反映,はんえい,"reflection,influence"
半径,はんけい,radius
判子,はんこ,seal (used for signature)
万歳,ばんざい,"hurrah, cheers"
判事,はんじ,"judge,judiciary"
反省,はんせい,"reflection,reconsideration,introspection,meditation,contemplation"
番地,ばんち,"house number,address"
半島,はんとう,peninsula
日当たり,ひあたり,"exposure to the sun,sunny place"
日帰り,ひがえり,day trip
比較的,ひかくてき,"comparatively,relatively"
日陰,ひかげ,shadow
引受る,ひきうける,"to undertake,to take up,to take over"
引返す,ひきかえす,"to repeat,to send back,to bring back"
引算,ひきざん,subtraction
引出す,ひきだす,"to pull out,to take out,to draw out,to withdraw"
引き止める,ひきとめる,"to detain,to check,to restrain"
卑怯,ひきょう,"cowardice,meanness,unfairness"
引分け,ひきわけ,"a draw (in competition),tie game"
髭,ひげ,"moustache,beard,whiskers"
陽射,ひざし,"sunlight,rays of the sun"
肘,ひじ,elbow
引っ掛かる,ひっかかる,"to be caught in,to be stuck in,to be cheated"
筆記,ひっき,"(taking) notes,copying"
引っ繰り返す,ひっくりかえす,"to turn over,to overturn,to knock over,to upset,to turn inside out"
引っ繰り返る,ひっくりかえる,"to be overturned,to be upset,to topple over,to be reversed"
引越し,ひっこし,"moving (dwelling etc.),changing residence"
引っ込む,ひっこむ,"to draw back,to sink,to cave in"
筆者,ひっしゃ,"writer,author"
必需品,ひつじゅひん,"necessities,necessary article,requisite,essential"
人差指,ひとさしゆび,index finger
一通り,ひととおり,"ordinary,usual,in general,briefly"
人通り,ひとどおり,pedestrian traffic
瞳,ひとみ,pupil (of eye)
一休み,ひとやすみ,a rest
独り言,ひとりごと,"a soliloquy,a monologue,speaking to oneself"
皮肉,ひにく,"cynicism,sarcasm"
日日,ひにち,"every day,daily,day after day"
捻る,ひねる,"to turn (a switch) on or off,to twist,to puzzle over"
日の入り,ひのいり,sunset
日の出,ひので,sunrise
響き,ひびき,"echo,sound,reverberation,noise"
響く,ひびく,to resound
皮膚,ひふ,skin
冷やす,ひやす,"to cool,to refrigerate"
美容,びよう,beauty of figure or form
表紙,ひょうし,"front cover,binding"
標識,ひょうしき,"sign,mark"
標準,ひょうじゅん,"standard,level"
標本,ひょうほん,"example,specimen"
評論,ひょうろん,"criticism,critique"
平仮名,ひらがな,"hiragana,47 syllables,the cursive syllabary"
昼寝,ひるね,"nap (at home),siesta"
広げる,ひろげる,"to spread,to extend,to expand,to enlarge"
広さ,ひろさ,extent
広場,ひろば,plaza
広々,ひろびろ,"extensive,spacious"
広める,ひろめる,"to broaden,to propagate"
便箋,びんせん,"writing paper,stationery"
瓶詰,びんづめ,"bottling,bottled"
風船,ふうせん,balloon
不運,ふうん,"unlucky,misfortune,bad luck,fate"
殖える,ふえる,"to increase,to multiply"
深まる,ふかまる,"to deepen,to heighten,to intensify"
不規則,ふきそく,"irregularity,unsteadiness,disorderly"
普及,ふきゅう,"diffusion,spread"
付近,ふきん,"neighbourhood,vicinity,environs"
拭く,ふく,"to wipe,to dry"
副詞,ふくし,adverb
複写,ふくしゃ,"copy,duplicate"
複数,ふくすう,"plural,multiple"
含める,ふくめる,"to include,to instruct,to make one understand"
膨らます,ふくらます,"to swell,to expand,to inflate,to bulge"
膨らむ,ふくらむ,"to expand,to swell (out),to get big,to become inflated"
不潔,ふけつ,"unclean,dirty,filthy,impure"
更ける,ふける,"to get late,to advance,to wear on"
符号,ふごう,"sign,mark,symbol"
夫妻,ふさい,"man and wife,married couple"
塞がる,ふさがる,"to be plugged up,to be shut up"
塞ぐ,ふさぐ,"to stop up,to close up,to block (up)"
無沙汰,ぶさた,neglecting to stay in contact
武士,ぶし,"warrior,samurai"
部首,ぶしゅ,radical (of a kanji character)
襖,ふすま,sliding screen
附属,ふぞく,"attached,belonging,affiliated"
蓋,ふた,"cover,lid,cap"
不通,ふつう,"suspension,interruption,stoppage,tie-up,cessation"
物騒,ぶっそう,"dangerous,disturbed,insecure"
船便,ふなびん,surface mail (ship)
部品,ぶひん,"parts,accessories"
吹雪,ふぶき,snow storm
父母,ふぼ,"father and mother,parents"
踏切,ふみきり,"railway crossing,level crossing,starting line,scratch,crossover"
麓,ふもと,"the foot,the bottom,the base (of a mountain)"
増やす,ふやす,"to increase,to add to,to augment"
殖やす,ふやす,"to increase,to add to,to augment"
振り仮名,ふりがな,",pronunciation key"
振舞う,ふるまう,"to behave,to conduct oneself,to entertain (vt)"
風呂敷,ふろしき,"wrapping cloth,cloth wrapper"
噴火,ふんか,eruption
分解,ぶんかい,"analysis,disassembly"
文芸,ぶんげい,"literature,art and literature,belles-lettres"
文献,ぶんけん,"literature,books (reference)"
噴水,ふんすい,water fountain
分数,ぶんすう,fraction (in math)
文体,ぶんたい,literary style
分布,ぶんぷ,distribution
文房具,ぶんぼうぐ,stationery
文脈,ぶんみゃく,context
分量,ぶんりょう,"amount,quantity"
分類,ぶんるい,classification
閉会,へいかい,closure
平気,へいき,"coolness,calmness,composure,unconcern"
並行,へいこう,"(going) side by side,concurrent,abreast,at the same time"
平日,へいじつ,"weekday,ordinary days"
兵隊,へいたい,"soldier,sailor"
平凡,へいぼん,"common,commonplace,ordinary,mediocre"
平野,へいや,"plain,open field"
凹む,へこむ,"to be dented,to be indented,to yield to,to give,to sink,to collapse,to cave in,to be snubbed"
隔てる,へだてる,to be shut out
別荘,べっそう,"holiday house,villa"
別々,べつべつ,"separately,individually"
編集,へんしゅう,"editing,compilation,editorial (e.g. committee)"
便所,べんじょ,"toilet,lavatory,rest room,latrine,comfort station"
望遠鏡,ぼうえんきょう,telescope
方角,ほうがく,"direction,way,compass point"
箒,ほうき,(n) broom
方言,ほうげん,dialect
坊さん,ぼうさん,"Buddhist priest,monk"
防止,ぼうし,"prevention,check"
方針,ほうしん,"objective,plan,policy"
包装,ほうそう,"packing,wrapping"
法則,ほうそく,"law,rule"
包帯,ほうたい,"bandage,dressing"
膨大,ぼうだい,"huge,bulky,enormous,extensive,swelling,expansion"
庖丁,ほうちょう,"kitchen knife,carving knife"
方程式,ほうていしき,equation
防犯,ぼうはん,prevention of crime
方面,ほうめん,"direction,district,field (e.g., of study)"
坊や,ぼうや,boy
放る,ほうる,to let go
朗らか,ほがらか,"brightness,cheerfulness,melodious"
牧場,ぼくじょう,"(1) farm (livestock),(2) pasture land,meadow,grazing land"
牧畜,ぼくちく,stock-farming
保健,ほけん,"health preservation,hygiene,sanitation"
募集,ぼしゅう,"recruiting,taking applications"
干す,ほす,"to air,to dry,to desiccate,to drain (off),to drink up"
北極,ほっきょく,North Pole
坊っちゃん,ぼっちゃん,son (of others)
堀,ほり,"moat,canal"
掘る,ほる,"to dig,to excavate"
彫る,ほる,"to carve,to engrave,to sculpture,to chisel"
盆,ぼん,"Lantern Festival,Festival of the Dead,tray"
盆地,ぼんち,basin (e.g. between mountains)
本部,ほんぶ,headquarters
本来,ほんらい,"essentially,naturally,by nature"
枚数,まいすう,the number of flat things
毎度,まいど,"each time,common service-sector greeting"
巻く,まく,"to wind,to coil,to roll"
蒔く,まく,to sow (seeds)
撒く,まく,"to scatter,to sprinkle,to sow"
枕,まくら,"pillow,bolster"
曲げる,まげる,"to bend,to crook,to lean"
摩擦,まさつ,"friction,rubbing,rubdown,chafe"
混ざる,まざる,"to be mixed,to be blended with,to associate with,to mingle with,to join"
交ざる,まざる,"to be mixed,to be blended with,to associate with,to mingle with,to join"
混じる,まじる,"to be mixed,to be blended with,to associate with"
交じる,まじる,"to be mixed,to be blended with,to associate with"
混ぜる,まぜる,"to mix,to stir"
交ぜる,まぜる,"to be mixed,to be blended with"
又は,または,"or,otherwise"
待合室,まちあいしつ,waiting room
待ち合わせる,まちあわせる,"to rendezvous,to meet at a prearranged place and time"
街角,まちかど,street corner
真っ暗,まっくら,"total darkness,shortsightedness,pitch dark"
真っ黒,まっくろ,pitch black
真っ青,まっさお,"deep blue,ghastly pale"
真っ先,まっさき,"the head,the foremost,beginning"
真っ白,まっしろ,pure white
祭る,まつる,"to deify,to enshrine"
窓口,まどぐち,ticket window
纏まる,まとまる,"to be collected,to be settled,to be in order"
纏める,まとめる,"to put in order,to collect,to bring to a conclusion"
真似る,まねる,"to mimic,to imitate"
間も無く,まもなく,"soon,before long,in a short time"
円い,まるい,"round,circular,spherical"
稀,まれ,"rare,seldom"
回り道,まわりみち,detour
満員,まんいん,"full house,no vacancy,sold out"
満点,まんてん,perfect score
見送る,みおくる,"(1) to see off,to farewell,(2) to escort,(3) to let pass"
見下ろす,みおろす,"to overlook,to command a view of,to look down on something"
見掛け,みかけ,outward appearance
三日月,みかづき,"new moon,crescent moon"
岬,みさき,cape (on coast)
店屋,みせや,"store,shop"
見出し,みだし,"heading,caption,subtitle,index"
道順,みちじゅん,"itinerary,route"
見付かる,みつかる,"to be found,to be discovered"
見付ける,みつける,"to be familiar,to discover,to detect"
見直す,みなおす,"to look again,to get a better opinion of"
見慣れる,みなれる,"to become used to seeing,to be familiar with"
醜い,みにくい,ugly
実る,みのる,"to bear fruit,to ripen"
身分,みぶん,"social position,social status"
見本,みほん,sample
見舞う,みまう,"to ask after (health),to visit"
未満,みまん,"less than,insufficient"
名字,みょうじ,"surname,family name"
診る,みる,to examine (medical)
民間,みんかん,"private,civilian,civil,popular,folk,unofficial"
民謡,みんよう,"folk song,popular song"
向う,むかう,"(v5u) to face,to go towards"
剥く,むく,"to peel,to skin,to pare,to hull"
無限,むげん,infinite
無地,むじ,"plain,unfigured"
蒸し暑い,むしあつい,"humid,sultry"
矛盾,むじゅん,"contradiction,inconsistency"
蒸す,むす,"to steam,to poultice,to be sultry"
無数,むすう,"countless number,infinite number"
紫,むらさき,"purple colour,violet"
群れ,むれ,"group,crowd,flock,herd"
姪,めい,niece
名作,めいさく,masterpiece
名刺,めいし,business card
名詞,めいし,noun
名所,めいしょ,famous place
命ずる,めいずる,"to command,to appoint"
迷信,めいしん,superstition
名物,めいぶつ,"famous product,special product,speciality"
銘々,めいめい,"each,individual"
目上,めうえ,"superior(s),senior"
恵まれる,めぐまれる,"to be blessed with,to be rich in"
巡る,めぐる,to go around
目指す,めざす,"to aim at,to have an eye on"
目覚し,めざまし,(abbr) alarm-clock
目下,めした,"at present,now"
目印,めじるし,"mark,sign,landmark"
目立つ,めだつ,"to be conspicuous,to stand out"
目安,めやす,"criterion,aim"
免税,めんぜい,"tax exemption,duty exemption"
面積,めんせき,area
面接,めんせつ,interview
面倒臭い,めんどうくさい,"bother to do,tiresome"
儲かる,もうかる,"to be profitable,to yield a profit"
儲ける,もうける,"to get,to earn,to gain,to have (bear, beget) a child"
申し訳ない,もうしわけない,inexcusable
木材,もくざい,"lumber,timber,wood"
目次,もくじ,table of contents
潜る,もぐる,"(1) to drive,to pass through,(2) to evade,to hide,(3) to dive (into or under water),to go undergroun"
餅,もち,sticky rice cake
元々,もともと,"originally,by nature,from the start"
物置,ものおき,storage room
物語る,ものがたる,"to tell,to indicate"
物差し,ものさし,"ruler,measure"
物凄い,ものすごい,"earth-shattering,staggering,to a very great extent"
紅葉,もみじ,(1) (Japanese) maple
揉む,もむ,"to rub,to crumple (up),to wrinkle"
燃やす,もやす,to burn
催し,もよおし,"event,festivities,function"
盛る,もる,"(1) to serve (food, etc.),(2) to fill up,(3) to prescribe"
問答,もんどう,"questions and answers,dialogue"
夜間,やかん,"at night,nighttime"
薬缶,やかん,kettle
役者,やくしゃ,"actor,actress"
役所,やくしょ,"government office,public office"
訳す,やくす,to translate
役人,やくにん,government official
薬品,やくひん,"medicine(s),chemical(s)"
役目,やくめ,"duty,business"
火傷,やけど,"burn,scald"
夜行,やこう,"walking around at night,night train,night travel"
矢印,やじるし,directing arrow
薬局,やっきょく,"pharmacy,drugstore"
家主,やぬし,landlord
破く,やぶく,to tear; to rip
破れる,やぶれる,"to get torn,to wear out"
軟らかい,やわらかい,"soft,tender,limp"
遊園地,ゆうえんち,amusement park
夕刊,ゆうかん,evening paper
友好,ゆうこう,friendship
郵送,ゆうそう,mailing
夕立,ゆうだち,(sudden) evening shower (rain)
夕日,ゆうひ,"(in) the evening sun,setting sun"
悠々,ゆうゆう,"quiet,calm,leisurely"
有料,ゆうりょう,"admission-paid,toll"
浴衣,ゆかた,"bathrobe,informal summer kimono,yukata"
湯気,ゆげ,"steam,vapour"
輸血,ゆけつ,blood transfusion
輸送,ゆそう,"transport,transportation"
油断,ゆだん,"negligence,unpreparedness"
湯飲み,ゆのみ,teacup
緩い,ゆるい,"loose,lenient,slow"
溶岩,ようがん,lava
容器,ようき,"container,vessel"
用語,ようご,"term,terminology"
要旨,ようし,"gist,essentials,summary,fundamentals"
幼児,ようじ,"infant,baby,child"
容積,ようせき,"capacity,volume"
幼稚,ようち,"infancy,childish,infantile"
幼稚園,ようちえん,kindergarten
用途,ようと,"use,usefulness"
洋品店,ようひんてん,shop which handles Western-style apparel and accessories
養分,ようぶん,"nourishment,nutrient"
羊毛,ようもう,wool
漸く,ようやく,"gradually,finally,hardly"
要領,ようりょう,"point,gist,essentials,outline"
欲張り,よくばり,"avarice,covetousness,greed"
余計,よけい,"too much,unnecessary,abundance,surplus,excess,superfluity"
汚す,よごす,"(1) to disgrace,to dishonour,(2) to pollute,to contaminate,to soil,to make dirty,to stain"
寄せる,よせる,"to collect,to gather,to add,to put aside"
余所,よそ,"another place,somewhere else,strange parts"
四つ角,よつかど,"four corners,crossroads"
酔っ払い,よっぱらい,drunkard
予備,よび,"preparation,preliminaries,reserve,spare"
呼び掛ける,よびかける,"to call out to,to accost,to address (crowd),to appeal"
呼び出す,よびだす,"to summon,to call (e.g. phone)"
蘇る,よみがえる,"to be resurrected,to be revived,to be resuscitated,to be rehabilitated"
因る,よる,to come from
慶び,よろこび,"(n) (a) joy,(a) delight,rapture,pleasure,gratification,rejoicing,congratulations,felicitations"
慶ぶ,よろこぶ,to congratulate
来日,らいにち,"arrival in Japan,coming to Japan,visit to Japan"
落第,らくだい,"failure,dropping out of a class"
欄,らん,column of text (e.g. as in a newspaper)
乱暴,らんぼう,"rude,violent,rough,lawless,unreasonable,reckless"
理科,りか,science
利害,りがい,"advantages and disadvantages,interest"
略す,りゃくす,to abbreviate
流域,りゅういき,(river) basin
寮,りょう,"hostel,dormitory"
両側,りょうがわ,both sides
漁師,りょうし,fisherman
領事,りょうじ,consul
領収,りょうしゅう,"receipt,voucher"
臨時,りんじ,"temporary,special,extraordinary"
留守番,るすばん,"care-taking,caretaker,house-watching"
例外,れいがい,exception
零点,れいてん,"zero,no marks"
冷凍,れいとう,"freezing,cold storage,refrigeration"
列島,れっとう,chain of islands
煉瓦,れんが,brick
連合,れんごう,"union,alliance"
蝋燭,ろうそく,candle
録音,ろくおん,(audio) recording
論ずる,ろんずる,"to argue,to discuss,to debate"
和英,わえい,Japanese-English
分る,わかる,to be understood
分かれる,わかれる,"to branch off,to diverge from,to fork,to split,to dispense,to scatter,to divide into"
若々しい,わかわかしい,"youthful,young"
湧く,わく,"to boil,to grow hot,to get excited,to gush forth"
詫びる,わびる,to apologize
和服,わふく,Japanese clothes
割算,わりざん,division (math)
割と,わりと,"relatively, comparitively"
割引,わりびき,"discount,reduction,rebate"
椀,わん,"Japanese soup bowl,wooden bowl"
碗,わん,bowl
