知事,ちじ,prefectural governor
抜ける,ぬける,"to come out,to fall out,to be omitted"
布,ぬの,cloth
濡れる,ぬれる,to get wet
根,ね,root
値,ね,"value,price,cost"
願い,ねがい,"desire,wish,request"
願う,ねがう,"to desire,to wish,to request"
鼠,ねずみ,"(1) mouse,rat,(2) dark gray,slate color"
値段,ねだん,"price,cost"
熱心,ねっしん,"zeal,enthusiasm"
熱帯,ねったい,tropics
熱中,ねっちゅう,"nuts!,enthusiasm,zeal,mania"
年間,ねんかん,year
年月,ねんげつ,months and years
年中,ねんじゅう,"whole year,always,everyday"
年代,ねんだい,"age,era,period,date"
年齢,ねんれい,"age,years"
野,の,field
能,のう,"being skilled in,nicely,properly"
農家,のうか,"farmer,farm family"
農業,のうぎょう,agriculture
農民,のうみん,"farmers,peasants"
能力,のうりょく,"ability,faculty"
軒,のき,eaves
残す,のこす,"to leave (behind, over),to bequeath,to save,to reserve"
残り,のこり,"remnant,residue,remaining,left-over"
乗せる,のせる,"to place on (something),to take on board,to give a ride"
除く,のぞく,"to remove,to exclude,to except"
望み,のぞみ,"wish,desire,(a) hope"
望む,のぞむ,"to desire,to wish for,to see,to command (a view of)"
後,のち,"afterwards,since then,in the future"
喉,のど,throat
伸ばす,のばす,"to lengthen,to stretch,to reach out,to grow (beard)"
伸びる,のびる,"to stretch,to extend,to make progress,to grow (beard, body height)"
述べる,のべる,"to state,to express,to mention"
昇る,のぼる,"to arise,to ascend,to go up"
場,ば,"place,field (physics)"
灰,はい,ash
梅雨,ばいう,"rainy season,rain during the rainy season"
配達,はいたつ,"delivery,distribution"
俳優,はいゆう,"actor,actress,player,performer"
墓,はか,"grave,tomb"
馬鹿,ばか,"fool,idiot,trivial matter,folly"
博士,はかせ,"doctorate,PhD"
計る,はかる,"to measure,to weigh,to survey"
履く,はく,"to wear,to put on (lower body)"
吐く,はく,"(1) to breathe,(2) to tell (lies),(3) to vomit,to disgorge"
拍手,はくしゅ,"clapping hands,applause"
莫大,ばくだい,"enormous,vast"
爆発,ばくはつ,"explosion,detonation,eruption"
博物館,はくぶつかん,museum
激しい,はげしい,"violent,vehement,intense"
破産,はさん,(personal) bankruptcy
端,はし,"end (e.g. of street),edge,tip,margin,point"
始まり,はじまり,"origin,beginning"
外す,はずす,"to unfasten,to remove"
旗,はた,flag
肌,はだ,skin
裸,はだか,"naked,nude"
畑,はたけ,field
二十,はたち,"20 years old,20th year"
働き,はたらき,"work,labor"
発見,はっけん,"discovery,detection,finding"
発行,はっこう,issue (publications)
発車,はっしゃ,departure of a vehicle
罰する,ばっする,"to punish,to penalize"
発達,はったつ,"development,growth"
発展,はってん,"development,growth"
発表,はっぴょう,"announcement,publication"
発明,はつめい,invention
話し合う,はなしあう,"to discuss,to talk together"
離す,はなす,"to part,divide,separate"
放す,はなす,"to separate,to set free"
離れる,はなれる,"to be separated from,to leave,to go away,to be a long way off"
羽,はね,"counter for birds,counter for rabbits"
幅,はば,"width,breadth"
母親,ははおや,mother
省く,はぶく,"to omit,to eliminate,to curtail,to economize"
場面,ばめん,"scene,setting (e.g. of novel)"
腹,はら,"abdomen,belly,stomach"
原,はら,"field,plain,prairie,tundra,moor,wilderness"
針,はり,"needle,hand (e.g. clock)"
張る,はる,"to stick,to paste"
番,ばん,number (in a series)
範囲,はんい,"extent,scope,sphere,range"
反抗,はんこう,"opposition,resistance"
犯罪,はんざい,crime
判断,はんだん,"judgement,decision"
犯人,はんにん,"offender,criminal"
販売,はんばい,"sale,selling,marketing"
灯,ひ,light
被害,ひがい,damage
比較,ひかく,comparison
轢く,ひく,"to run somebody over (with vehicle),to knock someone down"
悲劇,ひげき,tragedy
飛行,ひこう,aviation
膝,ひざ,"knee,lap"
非常,ひじょう,"emergency,extraordinary,unusual"
美人,びじん,beautiful person (woman)
額,ひたい,"forehead,brow"
日付,ひづけ,"date,dating"
必死,ひっし,"inevitable death,desperation,frantic,inevitable result"
引っ張る,ひっぱる,"(1) to pull,to draw,to stretch,to drag,(2) to pull the ball (baseball)"
否定,ひてい,"negation,denial,repudiation"
一言,ひとこと,single word
人込み,ひとごみ,crowd of people
等しい,ひとしい,equal
独り,ひとり,"alone,unmarried"
一人一人,ひとりひとり,"one by one,each,one at a time"
批判,ひはん,"criticism,judgement,comment"
批評,ひひょう,"criticism,review,commentary"
秘密,ひみつ,"secret,secrecy"
微妙,びみょう,"delicate,subtle"
紐,ひも,"(1) string,cord,(2) pimp"
費用,ひよう,"cost,expense"
表,ひょう,"table (e.g. Tab 1),chart,list"
秒,びょう,second (60th min)
評価,ひょうか,"valuation,estimation,assessment,evaluation"
表現,ひょうげん,"expression,presentation,representation (math)"
表情,ひょうじょう,facial expression
平等,びょうどう,"equality (a),impartiality,evenness"
評判,ひょうばん,"fame,reputation,popularity,arrant"
表面,ひょうめん,"surface,outside,face,appearance"
広がる,ひろがる,"to spread (out),to extend,to stretch,to reach to,to get around"
品,ひん,"thing,article,goods,dignity,article (goods),counter for meal courses"
瓶,びん,bottle
便,びん,"way,means"
不,ふ,"un,non,negative prefix"
不,ぶ,"un,non,negative prefix"
無,ぶ,"nothing,naught,nil,zero"
分,ぶ,"dividing,part"
不安,ふあん,"anxiety,uneasiness,insecurity,suspense"
風景,ふうけい,scenery
夫婦,ふうふ,"married couple,husband and wife"
笛,ふえ,"flute,pipe"
不可,ふか,"wrong,bad,improper,unjustifiable,inadvisable"
武器,ぶき,"weapon,arms,ordinance"
服装,ふくそう,garments
含む,ふくむ,"to hold in the mouth,to bear in mind"
袋,ふくろ,"bag,sack"
不幸,ふこう,"unhappiness,sorrow,misfortune,disaster,accident,death"
節,ふし,"tune,tone,knot,knob,point"
無事,ぶじ,"safety,peace,quietness"
不思議,ふしぎ,"mystery,curiosity"
不自由,ふじゆう,"discomfort,disability,inconvenience,destitution"
夫人,ふじん,"wife,Mrs,madam"
婦人,ふじん,"woman,female"
不正,ふせい,"injustice,unfairness"
防ぐ,ふせぐ,"to defend (against),to protect,to prevent"
不足,ふそく,"insufficiency,shortage,deficiency,lack,dearth"
舞台,ぶたい,stage (theatre)
双子,ふたご,"twins,a twin"
再び,ふたたび,"again,once more,a second time"
普段,ふだん,"usually,habitually,ordinarily,always"
縁,ふち,"a means, e.g. of living"
打つ,ぶつ,"to hit,to strike"
物価,ぶっか,"prices of commodities,prices (in general)"
物質,ぶっしつ,"material,substance"
物理,ぶつり,physics
筆,ふで,writing brush
不図,ふと,"suddenly,casually,accidentally,incidentally,unexpectedly,unintentionally(usually kana)"
船,ふね,"ship,boat,watercraft,shipping,vessel,steamship"
部分,ぶぶん,"portion,section,part"
不平,ふへい,"complaint,discontent,dissatisfaction"
不満,ふまん,"dissatisfaction,displeasure,discontent,complaints,unhappiness"
不利,ふり,"disadvantage,handicap,unfavorable,drawback"
振る,ふる,"(1) to wave,to shake,to swing,(2) to sprinkle,(3) to cast (actor),to allocate (work)"
震える,ふるえる,"to shiver,to shake,to quake"
触れる,ふれる,"to touch,to be touched,to touch on a subject,to feel,to violate (law, copyright, etc.),to perceive,t"
風呂,ふろ,bath
分,ぶん,"dividing,part,segment"
文,ぶん,sentence
雰囲気,ふんいき,"atmosphere (e.g. musical),mood,ambience"
分析,ぶんせき,analysis
文明,ぶんめい,"civilization,culture"
分野,ぶんや,"field,sphere,realm,division,branch"
塀,へい,"wall,fence"
平均,へいきん,"equilibrium,balance,average,mean"
平和,へいわ,"peace,harmony"
別に,べつに,"(not) particularly,nothing"
減らす,へらす,"to abate,to decrease,to diminish,to shorten"
減る,へる,"to decrease (in size or number),to diminish,to abate"
変化,へんか,"goblin,ghost,apparition,bugbear"
勉強,べんきょう,"study,diligence,discount,reduction"
変更,へんこう,"change,modification,alteration"
弁当,べんとう,box lunch
方,ほう,side
法,ほう,Act (law: the X Act)
棒,ぼう,"pole,rod,stick"
冒険,ぼうけん,"risk,venture,adventure"
方向,ほうこう,"direction,course,way"
報告,ほうこく,"report,information"
宝石,ほうせき,"gem,jewel"
放送,ほうそう,"broadcast,broadcasting"
豊富,ほうふ,"abundance,wealth,plenty,bounty"
方法,ほうほう,"method,manner,way,means,technique"
方々,ほうぼう,"persons,this and that,here and there,everywhere"
訪問,ほうもん,"call,visit"
吠える,ほえる,"to bark,to bay,to howl,to bellow,to roar,to cry"
他,ほか,other (esp. places and things)
外,ほか,"other place,the rest"
誇り,ほこり,pride
埃,ほこり,dust
保証,ほしょう,"guarantee,security,assurance,pledge,warranty"
保存,ほぞん,"preservation,conservation,storage,maintenance"
程,ほど,"degree,extent,bounds,limit"
歩道,ほどう,"footpath,walkway,sidewalk"
仏,ほとけ,"Buddha,merciful person,Buddhist image,the dead"
骨,ほね,bone
炎,ほのお,flame
頬,ほほ,cheek (of face)
頬,ほお,cheek (of face)
微笑む,ほほえむ,to smile
褒める,ほめる,"to praise,to admire,to speak well"
濠,ほり,moat
本当,ほんと,"truth,reality"
本当,ほんとう,"truth,reality"
本人,ほんにん,the person himself
本物,ほんもの,genuine article
間,ま,"space,room,time,pause"
迷子,まいご,lost (stray) child
任せる,まかせる,"to entrust to another,to leave to"
幕,まく,"curtain,bunting,act (in play)"
負け,まけ,"defeat,loss,losing (a game)"
孫,まご,grandchild
真面目,まじめ,"diligent,serious,honest"
増す,ます,"to increase,to grow"
先ず,まず,"first (of all),to start with,about,almost,hardly (with neg. verb)"
貧しい,まずしい,"poor,needy"
又,また,"again,and"
未だ,まだ,"yet,still,more,besides"
街,まち,"(1) town,(2) street,road"
間違い,まちがい,mistake
松,まつ,"(1) pine tree,(2) highest (of a three-tier ranking system)"
真っ赤,まっか,"deep red,flushed (of face)"
真っ直ぐ,まっすぐ,"straight (ahead),direct,upright"
全く,まったく,"really,truly,entirely,completely"
祭,まつり,"festival,feast"
学ぶ,まなぶ,"to study (in depth),to learn,to take lessons in"
真似,まね,"mimicry,imitation,behavior,pretense"
招く,まねく,to invite
豆,まめ,"beans,peas"
守る,まもる,"to protect,to obey,to guard,to abide (by the rules)"
丸,まる,"circle,full (month),perfection,purity,suffix for ship names"
円,まる,"circle,money"
丸い,まるい,"round,circular,spherical"
回す,まわす,"to turn,to revolve"
回り,まわり,"circumference,surroundings,circulation"
万一,まんいち,"by some chance,by some possibility,if by any chance,10E4:1 odds"
満足,まんぞく,satisfaction
身,み,"body,main part,oneself,sword"
実,み,"fruit,nut,seed,content,good result"
見送り,みおくり,"seeing one off,farewell,escort"
味方,みかた,"friend,ally,supporter"
見事,みごと,"splendid,magnificent,beautiful,admirable"
満ちる,みちる,"to be full,to rise (tide),to mature,to expire"
密,みつ,1. density; thickness 2. secrecy
認める,みとめる,"to recognize,to appreciate,to approve,to admit,to notice"
皆,みんな,"all,everyone,everybody"
見舞い,みまい,"enquiry,expression of sympathy,expression of concern"
土産,みやげ,"present,souvenir"
都,みやこ,capital
妙,みょう,"strange,unusual"
明後日,みょうごにち,day after tomorrow
未来,みらい,"future (life, tense)"
魅力,みりょく,"charm,fascination,glamour"
見る,みる,"to see,to watch"
無,む,"nothing,naught,nil,zero"
向かい,むかい,"facing,opposite,across the street,other side"
迎え,むかえ,"meeting,person sent to pick up an arrival"
向く,むく,to face
向ける,むける,"to turn towards,to point"
無視,むし,"disregard,ignore"
虫歯,むしば,"cavity,tooth decay,decayed tooth,caries"
寧ろ,むしろ,"rather,better,instead"
結ぶ,むすぶ,"to tie,to bind,to link"
無駄,むだ,"futility,uselessness"
夢中,むちゅう,"daze,(in a) trance,ecstasy,delirium,engrossment"
胸,むね,"breast,chest"
無料,むりょう,"free,no charge"
芽,め,sprout
明確,めいかく,"clear up,clarify,define"
命じる,めいじる,"to order,to command,to appoint"
名人,めいじん,"master,expert"
命令,めいれい,"order,command,decree,directive,(software) instruction"
迷惑,めいわく,"trouble,bother,annoyance"
飯,めし,"(sl) meals,food"
滅多に,めったに,"rarely (with neg. verb),seldom"
面,めん,"face,mug,surface,facial features,mask,face guard,side or facet,corner,page"
綿,めん,"cotton,padding"
免許,めんきょ,"license,permit,licence,certificate"
面倒,めんどう,"trouble,difficulty,care,attention"
申し込む,もうしこむ,"to apply for,to make an application"
申し訳,もうしわけ,"apology,excuse"
毛布,もうふ,blanket
燃える,もえる,to burn
目的,もくてき,"purpose,goal,aim,objective,intention"
目標,もくひょう,"mark,objective,target"
木曜,もくよう,Thursday
文字,もじ,"letter (of alphabet),character"
文字,もんじ,"letter (of alphabet),character"
持ち上げる,もちあげる,"to raise,to lift up,to flatter"
用いる,もちいる,"to use,to make use of"
勿論,もちろん,"of course,certainly,naturally"
最も,もっとも,"most,extremely"
尤も,もっとも,"quite right,plausible,natural,but then,although"
元,もと,"(1) origin,original,(2) former"
基,もと,basis
素,もと,prime
戻す,もどす,"to restore,to put back,to return"
基づく,もとづく,"to be grounded on,to be based on,to be due to,to originate from"
求める,もとめる,"to seek,to request,to demand,to want,to wish for,to search for,to pursue (pleasure),to hunt (a job),"
者,もの,person
物音,ものおと,sounds
物語,ものがたり,"tale,story,legend"
物事,ものごと,"things,everything"
模様,もよう,"pattern,figure,design"
貰う,もらう,to receive
文句,もんく,"phrase,complaint"
役,やく,"use,service,role,position"
約,やく,"approximately,about,some"
訳,やく,"meaning,reason,circumstances,can be deduced,situation"
役割,やくわり,"part,assigning (allotment of) parts,role,duties"
家賃,やちん,rent
厄介,やっかい,"trouble,burden,care,bother"
宿,やど,"inn,lodging"
雇う,やとう,"to employ,to hire"
屋根,やね,roof
破る,やぶる,"to tear,to violate,to defeat,to smash,to destroy"
辞める,やめる,to retire
唯一,ゆいいつ,"only,sole,unique"
勇気,ゆうき,"courage,bravery,valour,nerve,boldness"
有効,ゆうこう,"validity,availability,effectiveness"
優秀,ゆうしゅう,"superiority,excellence"
優勝,ゆうしょう,"overall victory,championship"
友情,ゆうじょう,"friendship,fellowship"
友人,ゆうじん,friend
有能,ゆうのう,"able,capable,efficient,skill"
郵便,ゆうびん,"mail,postal service"
夕べ,ゆうべ,evening
有利,ゆうり,"advantageous,better,profitable,lucrative"
床,ゆか,floor
愉快,ゆかい,"pleasant,happy"
輸出,ゆしゅつ,export
譲る,ゆずる,"to turn over,to assign,to hand over"
豊か,ゆたか,"abundant,wealthy,plentiful,rich"
輸入,ゆにゅう,"importation,import,introduction"
許す,ゆるす,"to permit,to allow,to approve"
夜,よ,"evening,night"
夜明け,よあけ,"dawn,daybreak"
様,よう,"way,manner,kind"
酔う,よう,"to get drunk,to become intoxicated"
容易,ようい,"easy,simple,plain"
陽気,ようき,"season,weather,cheerfulness"
要求,ようきゅう,"request,demand,requisition"
用心,ようじん,"care,precaution,guarding,caution"
様子,ようす,"aspect,state,appearance"
要するに,ようするに,"in a word,after all,the point is ..,in short .."
要素,ようそ,element
要点,ようてん,"gist,main point"
曜日,ようび,day of the week
予期,よき,"expectation,assume will happen,forecast"
横切る,よこぎる,"to cross (e.g. arms),to traverse"
予算,よさん,"estimate,budget"
止す,よす,"to cease,to abolish,to resign,to give up"
予測,よそく,"prediction,estimation"
夜中,よなか,"midnight,dead of night"
世の中,よのなか,"society,the world,the times"
余分,よぶん,"extra,excess,surplus"
予報,よほう,"forecast,prediction"
予防,よぼう,"prevention,precaution,protection against"
読み,よみ,reading
嫁,よめ,"bride,daughter-in-law"
余裕,よゆう,"surplus,composure,margin,room,time,allowance,scope,rope"
喜び,よろこび,"(a) joy,(a) delight,rapture,pleasure,gratification,rejoicing,congratulations,felicitations"
宜しい,よろしい,"(hon) good,OK,all right,fine,very well,will do,may,can"
宜しく,よろしく,"well,properly,suitably,best regards,please remember me(usually kana)"
四,よん,four
来,らい,",for (10 days),next (year)"
楽,らく,"comfort,ease"
利益,りえき,"profits,gains,(political, economic) interest"
理解,りかい,"understanding,comprehension"
陸,りく,six (used in legal documents)
利口,りこう,"clever,shrewd,bright,sharp,wise,intelligent"
離婚,りこん,divorce
理想,りそう,ideal
率,りつ,"rate,ratio,proportion,percentage"
立派,りっぱ,"splendid,fine,handsome,elegant,imposing,prominent,legal,legitimate"
留学,りゅうがく,studying abroad
流行,りゅうこう,"fashionable,fad,in vogue,prevailing"
量,りょう,"quantity,amount,volume,portion (of food)"
両替,りょうがえ,"change,money exchange"
料金,りょうきん,"fee,charge,fare"
例,れい,"instance,example,case"
礼,れい,expression of gratitude
礼儀,れいぎ,"manners,courtesy,etiquette"
冷静,れいせい,"calm,composure,coolness,serenity"
列,れつ,"queue,line,row"
列車,れっしゃ,train (ordinary)
練習,れんしゅう,practice
連想,れんそう,"association (of ideas),suggestion"
連続,れんぞく,"serial,consecutive,continuity,continuing"
老人,ろうじん,"the aged,old person"
労働,ろうどう,"manual labor,toil,work"
論じる,ろんじる,"to argue,to discuss,to debate"
論争,ろんそう,"controversy,dispute"
論文,ろんぶん,"thesis,essay,treatise,paper"
輪,わ,"ring,hoop,circle"
別れ,わかれ,"parting,separation,farewell"
脇,わき,side
分ける,わける,"to divide,to separate"
僅か,わずか,"only,merely,a little,small quantity"
綿,わた,"cotton,padding"
話題,わだい,"topic,subject"
笑い,わらい,"laugh,laughter,smile"
割る,わる,"to divide,to cut,to break,to halve"
悪口,わるくち,"abuse,insult,slander,evil speaking"
我々,われわれ,we
湾,わん,"bay,gulf,inlet"
